BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
16,정범모,Dinos,포수,1987-03-26,184,94,내덕초-청주중-청주기공고-한화-상무-한화
12,정진기,Dinos,외야수,1992-10-10,185,92,화순초-화순중-화순고-SK-SSG
67,정현,Dinos,내야수,1994-06-01,181,88,부산수영초-대천중-부산고-삼성-KT-상무-KT-SK-SSG
64,조민석,Dinos,투수,1998-12-21,180,81,천안남산초-천안북중-부천고-원광대
96,조효원,Dinos,내야수,1999-03-10,180,87,공주중동초-온양중-공주고-원광대
23,천재환,Dinos,외야수,1994-04-01,181,83,대전신흥초-공주중-화순고-고려대
49,최보성,Dinos,내야수,1998-10-16,181,88,진해장복초(진해리틀)-외포중-개성고
9,최승민,Dinos,외야수,1996-07-01,181,73,서울학동초-대치중-신일고-NC-상무
91,최시혁,Dinos,투수,2000-07-19,190,85,봉천초-배명중-북일고
32,최우재,Dinos,외야수,1997-04-11,186,90,광주수창초-진흥중-진흥고
6,파슨스,Dinos,투수,1992-09-06,196,93,미국 Clarksville(고)-미국 Jackson State(대)
62,하준수,Dinos,투수,2000-05-07,189,95,남부민초-대신중-부경고
39,하준영,Dinos,투수,1999-09-06,182,79,서울이수초-성남중-성남고-KIA
66,한건희,Dinos,투수,2000-09-04,188,105,대전유천초-한밭중-대전고
55,한재승,Dinos,투수,2001-11-21,180,90,동막초-상인천중-인천고
19,홍성민,Dinos,투수,1989-07-15,191,82,노암초-경포중-강릉고-한양대-KIA-롯데-경찰-롯데
