Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
서동환,Bears,25,1,2,4.5,11,3,0,0,0,0,0,22,102,25,11,11,2,11,0,4,4,0,13
이보근,Heroes,25,5,3,3.4904928789929204,56,0,0,0,1,0,5,87.2,386,92,37,34,5,42,4,1,2,0,52
차정민,Tigers,28,0,1,6.517252738373695,16,1,0,0,0,0,0,19.1,89,22,14,14,7,8,0,1,1,0,12
곽정철,Tigers,25,1,0,4.790314770154558,18,1,0,0,1,1,4,20.2,96,21,12,11,4,11,0,2,2,0,27
윤근영,Eagles,25,0,0,3.8571377932981257,23,1,0,0,0,0,1,25.2,119,26,11,11,1,16,0,1,4,0,25
양훈,Eagles,25,6,10,4.27972027972028,27,26,1,1,0,0,0,143,625,145,75,68,15,60,1,5,4,0,110
김선규,Twins,25,3,0,4.184997764970066,61,0,0,0,1,1,13,66.2,287,66,34,31,4,22,4,6,2,0,28
김세현,Heroes,23,2,2,5.9558734988802895,8,5,0,0,0,0,0,22.2,111,27,17,15,1,15,0,5,1,0,10
장원삼,Lions,28,8,8,4.147826086956521,25,21,0,0,0,0,0,115,509,139,58,53,13,37,0,0,1,0,68
김상수,Heroes,23,1,4,6.4860300639328,24,6,0,0,0,0,0,59.2,288,68,44,43,3,36,1,9,5,0,74
손영민,Tigers,24,9,6,3.0798466579349295,59,0,0,0,5,0,10,87.2,361,73,34,30,4,26,3,11,0,1,66
박경태,Tigers,23,1,3,6.625770747746864,50,4,0,0,0,0,6,54.1,252,53,43,40,3,40,1,3,10,0,40
유원상,Twins,25,1,5,6.285714285714286,34,4,0,0,0,1,3,63,279,75,46,44,10,20,0,2,4,0,44
임태훈,Bears,22,1,1,3.789473684210526,19,0,0,0,7,4,0,19,79,16,8,8,3,7,2,1,0,0,13
김강률,Bears,22,0,0,3.907899934836351,19,0,0,0,1,0,3,25.1,117,30,11,11,2,13,0,1,7,0,20
김혁민,Eagles,24,5,13,4.966308090026459,26,23,0,0,1,0,0,128.2,561,132,78,71,18,56,0,2,11,0,109
이범준,Twins,21,0,0,3.9130434782608696,12,0,0,0,0,0,0,23,98,21,13,10,0,11,0,1,1,0,12
홍상삼,Bears,21,0,1,6.32813499543532,6,4,0,0,0,0,0,21.1,96,26,16,15,6,10,0,2,1,1,5
김성현,Twins,22,4,9,5.430579525222609,25,25,0,0,0,0,0,117.2,528,128,75,71,10,67,0,2,15,1,68
