Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
마야,Bears,32,2,4,4.857142857142857,11,11,1,0,0,0,0,63,278,67,36,34,6,24,0,4,2,0,54
임창용,Lions,38,5,4,5.84327942344365,49,0,0,0,31,9,0,44.2,205,50,33,29,4,21,0,4,5,0,52
밴헤켄,Heroes,34,20,6,3.513368983957219,31,31,0,0,0,0,0,187,788,193,81,73,9,53,0,3,6,2,178
김광현,Wyverns,25,13,9,3.4203387778401697,28,28,1,0,0,0,0,173.2,749,178,77,66,10,81,1,3,9,1,145
양현종,Tigers,26,16,8,4.254872276111484,29,29,0,0,0,0,0,171.1,732,162,85,81,12,77,1,4,5,0,165
어센시오,Tigers,31,4,1,4.049997241158321,46,0,0,0,20,7,0,46.2,207,49,24,21,5,14,0,2,5,0,56
홀튼,Tigers,34,5,8,4.804268636472413,17,17,0,0,0,0,0,93.2,417,96,54,50,10,48,0,3,4,0,58
마틴,Lions,31,9,6,4.78125,23,22,0,0,0,0,0,128,562,148,69,68,10,31,1,7,2,2,84
티포드,Twins,30,5,6,5.23745632300773,20,19,0,0,0,0,0,99.2,455,105,64,58,9,51,2,6,2,0,85
유먼,Giants,34,12,10,5.934052600851398,28,28,0,0,0,0,0,151.2,701,196,109,100,20,63,0,3,3,0,84
니퍼트,Bears,33,14,7,3.8141336418904586,30,28,1,0,0,0,1,179.1,760,186,83,76,17,48,0,6,10,0,158
울프,Wyverns,31,2,2,4.851564524230461,23,13,0,0,4,0,0,85.1,364,88,48,46,10,27,0,6,1,0,41
밴덴헐크,Lions,29,13,4,3.1833990076145517,25,25,1,0,0,0,0,152.2,622,125,54,54,15,45,0,5,4,0,180
레이예스,Wyverns,29,2,7,6.548939146817733,13,13,0,0,0,0,0,78.1,369,103,64,57,10,38,1,3,4,0,41
김병현,Tigers,35,3,6,7.098591549295775,21,15,1,0,0,0,0,71,330,88,58,56,5,27,0,13,6,1,66
소사,Heroes,28,10,2,4.608,20,20,0,0,0,0,0,125,537,140,66,64,18,45,0,3,3,0,98
옥스프링,Giants,37,10,8,4.198922771649095,32,31,0,0,0,0,0,184.1,781,184,93,86,20,63,1,5,1,0,130
앨버스,Eagles,28,6,13,5.887678456393224,28,28,1,1,0,0,0,151.1,673,200,108,99,18,40,0,4,9,0,107
웨버,Dinos,29,9,6,4.576271186440678,24,23,0,0,0,0,0,118,512,132,66,60,13,42,0,3,5,2,85
봉중근,Twins,33,2,4,2.8993270033465115,50,0,0,0,30,6,0,49.2,216,51,16,16,2,17,2,4,6,0,45
류제국,Twins,31,9,7,5.11962701130095,27,27,0,0,0,0,0,147.2,661,146,100,84,13,58,3,13,9,0,128
나이트,Heroes,38,1,2,5.522733616934726,6,6,0,0,0,0,0,29.1,142,36,22,18,5,22,0,1,0,0,19
해커,Dinos,31,8,8,4.013505592349882,30,29,1,0,0,0,0,172.2,749,169,86,77,14,62,0,14,5,0,112
서재응,Tigers,37,0,2,6.402068149987595,16,1,0,0,0,0,2,32.1,152,45,25,23,6,10,0,3,0,0,18
볼스테드,Bears,27,5,7,6.206896551724138,17,17,1,0,0,0,0,87,410,116,70,60,8,37,0,7,4,0,32
토마스,Tigers,30,2,2,4.43571126412578,10,9,0,0,0,0,0,46.2,210,55,26,23,3,19,1,1,0,0,51
신정락,Twins,27,1,3,6.662341788119643,15,7,0,0,0,0,0,51.1,220,53,38,38,8,16,1,5,1,0,39
이재학,Dinos,23,10,9,4.211538461538462,29,28,1,0,0,0,0,156,668,152,77,73,16,68,0,8,2,0,131
