Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
라미레즈,Tigers,32,2,1,3.857131716701999,10,0,0,0,0,0,1,11.2,51,15,5,5,1,3,1,0,1,0,5
박찬호,Eagles,39,5,10,5.0578512396694215,23,23,1,0,0,0,0,121,552,134,76,68,11,52,0,11,4,1,68
류현진,Eagles,25,9,9,2.6605789780779223,27,27,1,0,0,0,0,182.2,734,153,58,54,12,46,6,5,3,1,210
윤석민,Tigers,25,9,8,3.1176470588235294,28,24,3,2,0,0,0,153,619,120,60,53,9,33,0,8,4,2,137
밴헤켄,Heroes,32,11,8,3.2823529411764705,28,28,0,0,0,0,0,170,716,166,68,62,16,60,1,3,11,0,132
로페즈,Wyverns,37,3,2,3.857142857142857,5,5,0,0,0,0,0,28,110,26,13,12,3,3,0,1,0,0,13
오승환,Lions,29,2,1,1.940118652550102,50,0,0,0,37,1,0,55.2,215,33,12,12,1,13,4,3,2,0,81
프록터,Bears,35,4,4,1.789157654381749,57,0,0,0,35,7,0,55.1,229,43,15,11,0,21,0,1,4,3,46
바티스타,Eagles,31,4,6,3.558139534883721,44,10,0,0,8,3,4,86,375,70,35,34,7,52,0,12,10,1,110
김선우,Bears,34,6,9,4.518376774106516,28,28,1,0,0,0,0,163.1,691,182,91,82,13,41,1,8,4,0,63
션헨,Eagles,31,0,2,8.4,14,1,0,0,0,1,1,15,73,24,16,14,2,6,0,0,3,0,19
고든,Lions,33,11,3,3.9375,25,24,0,0,0,0,0,128,552,144,61,56,10,38,0,2,1,1,80
김광현,Wyverns,23,8,5,4.297957309912784,16,16,0,0,0,0,0,81.2,347,85,44,39,9,36,0,2,2,1,65
양현종,Tigers,24,1,2,5.048780487804878,28,5,0,0,0,1,2,41,201,51,25,23,3,31,1,4,5,0,26
앤서니,Tigers,29,11,13,3.82717686859871,32,27,0,0,1,0,0,171.2,745,174,84,73,15,67,2,7,5,1,94
유먼,Giants,32,13,7,2.5547261376700825,29,28,2,1,0,0,1,179.2,726,156,58,51,10,56,0,1,7,0,142
니퍼트,Bears,31,11,10,3.2010309278350517,29,28,3,0,0,0,0,194,785,156,70,69,15,68,0,8,3,0,126
부시,Wyverns,32,4,6,4.426231445789032,17,15,0,0,0,0,0,81.1,356,80,45,40,8,31,1,8,3,0,45
탈보트,Lions,28,14,3,3.9686844755190145,25,25,0,0,0,0,0,138.1,584,136,63,61,8,54,1,5,8,4,68
리즈,Twins,28,5,12,3.6872329726907056,32,25,1,0,5,0,0,151.1,656,138,68,62,6,68,3,9,13,1,144
사도스키,Giants,29,8,8,4.32,29,28,1,0,0,0,1,150,656,154,75,72,9,69,0,6,16,0,98
김병현,Heroes,33,3,8,5.661290322580645,19,12,0,0,0,0,3,62,294,65,44,39,6,34,0,14,4,0,43
소사,Tigers,26,9,8,3.5429946202287477,23,23,4,1,0,0,0,147.1,614,137,62,58,9,39,1,8,3,1,104
봉중근,Twins,31,0,1,1.1842105263157894,40,0,0,0,26,1,0,38,152,26,5,5,1,10,0,4,1,0,36
