Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
조진호,Lions,33,0,1,8.1,4,2,0,0,0,0,1,10,50,14,9,9,1,6,0,0,1,0,6
바우어,Twins,32,2,2,7.902448766517281,7,6,0,0,0,0,0,27.1,129,31,24,24,5,18,0,2,2,1,15
류현진,Eagles,22,13,12,3.565147261951784,28,27,4,2,0,0,0,189.1,793,180,80,75,19,67,3,2,4,1,188
에르난데스,Lions,31,2,3,5.695308256664681,10,9,0,0,0,0,0,42.2,196,51,30,27,3,21,0,1,1,0,24
윤석민,Tigers,22,9,4,3.4596003963788826,27,16,0,0,7,2,0,119.2,510,110,52,46,9,44,1,8,1,0,117
연지,Eagles,32,1,7,7.043481911515107,12,11,0,0,0,0,0,61.1,290,81,49,48,13,27,2,4,2,0,56
로페즈,Tigers,34,14,5,3.1208462181477885,29,26,4,0,0,0,0,190.1,802,200,83,66,6,41,0,10,3,0,129
애킨스,Giants,31,3,5,3.831083549733774,50,0,0,0,26,2,0,49.1,214,49,21,21,4,22,2,3,2,0,29
오승환,Lions,26,2,2,4.8315738060918765,35,0,0,0,19,1,0,31.2,140,28,17,17,7,17,1,0,1,0,51
김선우,Bears,31,11,10,5.108108108108108,29,29,0,0,0,0,0,148,649,176,93,84,18,48,0,6,10,0,89
크루세타,Lions,27,9,10,4.356687898089172,30,30,1,1,0,0,0,157,700,134,90,76,11,109,1,6,19,0,127
글로버,Wyverns,32,9,3,1.9589843599108592,20,16,0,0,1,0,0,105.2,427,87,32,23,6,26,1,2,8,0,90
김광현,Wyverns,20,12,2,2.797597253234715,21,21,1,0,0,0,0,138.1,568,121,46,43,14,53,1,4,8,0,112
양현종,Tigers,21,12,5,3.147974846867626,29,24,0,0,0,0,1,148.2,627,133,55,52,14,58,0,2,3,0,139
니코스키,Bears,36,4,8,3.782608695652174,19,13,0,0,0,0,0,69,301,63,33,29,3,33,0,9,0,0,47
토마스,Eagles,31,2,5,2.88,45,0,0,0,13,4,0,50,203,43,20,16,2,20,2,1,3,0,56
봉중근,Twins,28,11,12,3.290141902591771,26,26,0,0,0,0,0,172.1,719,160,70,63,13,57,0,14,7,0,127
나이트,Lions,33,6,2,3.560437694781327,11,10,0,0,0,0,0,60.2,260,52,26,24,5,28,0,2,6,0,51
구대성,Eagles,39,0,0,3.718560750721029,71,0,0,0,1,0,8,55.2,224,54,24,23,5,11,1,3,1,0,56
서재응,Tigers,32,5,4,6.1260531694666875,21,15,0,0,0,0,0,79.1,367,101,56,54,12,30,1,8,2,0,53
경헌호,Twins,31,2,1,4.764705882352941,28,0,0,0,1,0,1,34,152,41,20,18,6,12,3,3,3,0,25
김광수,Twins,28,4,7,6.7105263157894735,34,20,0,0,0,0,1,114,531,150,96,85,19,49,2,6,2,0,67
신철인,Heroes,32,2,4,6.419576138332248,46,0,0,0,6,3,6,47.2,200,46,36,34,5,13,2,3,0,0,50
마일영,Heroes,28,5,8,6.9349340435988704,27,20,0,0,0,0,1,97.1,451,127,76,75,17,48,0,3,4,0,51
이동학,Heroes,28,1,3,6.988243605151705,18,1,0,0,0,0,0,28.1,140,37,23,22,2,20,1,3,2,1,20
이용훈,Giants,31,5,7,6.3,17,16,0,0,0,0,0,80,363,91,60,56,13,46,4,7,2,1,35
이승호,Wyverns,32,7,5,4.415094339622642,68,1,0,0,6,3,7,106,465,105,54,52,13,56,5,5,1,0,96
이동현,Twins,26,1,0,5.2258104707429265,34,0,0,0,0,1,1,41.1,187,39,24,24,7,28,0,0,4,0,30
김태영,Bears,29,7,6,4.720844422542377,40,14,1,0,0,1,3,108.2,455,120,57,57,9,32,2,5,7,1,81
지승민,Bears,30,0,0,2.8834978154541826,43,0,0,0,1,1,8,34.1,151,38,11,11,1,16,0,2,2,0,22
정대현,Wyverns,30,2,3,1.196201809628517,56,0,0,0,10,3,13,52.2,211,40,11,7,1,17,8,4,2,0,43
채병용,Wyverns,27,3,3,4.6956546076767385,28,7,0,0,2,0,3,61.1,269,66,32,32,11,25,2,2,2,0,53
서승화,Twins,29,0,2,10.451646985533328,4,2,0,0,0,0,0,10.1,53,14,12,12,2,10,0,1,1,0,7
이재영,Twins,30,5,3,4.129409448169569,47,0,0,0,11,2,1,56.2,256,61,30,26,6,29,1,3,3,0,47
배힘찬,Heroes,25,1,1,4.354838709677419,21,0,0,0,0,0,2,31,125,24,17,15,5,9,1,2,5,0,12
권혁,Lions,25,5,7,2.9008251659439868,63,0,0,0,6,4,21,80.2,346,64,29,26,10,42,4,4,6,0,76
안지만,Lions,25,2,4,5.117647058823529,17,9,0,0,0,0,1,51,216,54,31,29,5,18,0,1,2,0,32
고효준,Wyverns,26,11,10,4.334199126794,39,19,0,0,2,0,1,126.2,565,98,69,61,12,81,2,14,20,2,152
마정길,Eagles,30,0,0,4.973681089952689,54,0,0,0,1,0,7,50.2,241,61,31,28,6,23,3,7,3,1,39
윤길현,Wyverns,25,6,0,4.404255319148936,51,0,0,0,3,0,4,47,188,37,24,23,4,17,1,1,2,0,39
정재복,Twins,28,2,5,6.693280314787677,21,16,0,0,0,0,0,79.1,376,93,69,59,19,43,0,3,5,0,53
노경은,Bears,25,0,2,4.5,9,3,0,0,0,1,0,24,107,18,14,12,4,19,0,2,1,0,11
김성배,Bears,28,0,2,9.5,10,2,0,0,0,0,0,18,88,29,21,19,3,7,0,1,1,0,7
전병두,Wyverns,24,8,4,3.1050079359257396,49,11,0,0,8,1,1,133.1,554,114,50,46,13,48,7,2,11,1,136
고우석,Tigers,24,0,0,3.75,8,0,0,0,1,0,0,12,57,14,5,5,2,9,0,3,0,0,12
임준혁,Tigers,24,2,1,6.7499944506066,29,1,0,0,1,0,1,38.2,190,49,32,29,3,27,3,2,1,0,32
안영명,Eagles,24,11,8,5.182451899947856,26,26,0,0,0,0,0,140.2,609,148,88,81,34,45,1,7,3,0,87
윤규진,Eagles,24,1,4,7.2562543250646145,32,3,0,0,0,0,0,53.1,265,70,53,43,9,37,2,4,8,0,46
송은범,Wyverns,25,12,3,3.1339357230899485,31,29,1,0,0,0,0,149.1,637,155,59,52,17,49,0,5,4,0,103
심수창,Twins,28,6,12,5.311475409836065,21,21,0,0,0,0,0,122,550,143,74,72,21,57,0,7,7,0,57
오주원,Heroes,24,1,2,4.084030340474921,52,0,0,0,0,0,5,39.2,167,39,18,18,3,17,0,1,4,0,25
