Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
샘슨,Eagles,27,13,8,4.676278802594694,30,29,0,0,0,0,0,161.2,703,144,91,84,17,79,0,5,18,2,195
레일리,Giants,30,11,13,4.743934298894238,30,30,0,0,0,0,0,178.1,775,180,106,94,24,54,1,18,4,2,178
아델만,Lions,30,8,12,5.052631578947368,31,31,0,0,0,0,0,171,758,202,101,96,20,54,0,11,7,1,137
켈리,Wyverns,29,12,7,4.092640387505974,28,28,0,0,0,0,0,158.1,674,152,78,72,18,47,1,13,5,2,161
보니야,Lions,28,7,10,5.303571428571429,29,29,0,0,0,0,0,168,752,193,111,99,23,63,1,12,9,1,151
후랭코프,Bears,29,18,3,3.7366156698380157,28,28,0,0,0,0,0,149.1,621,118,64,62,12,55,1,22,15,0,134
팻딘,Tigers,29,6,7,6.262903100023867,36,21,0,0,0,2,2,129.1,588,174,96,90,23,27,2,4,3,0,101
산체스,Wyverns,28,8,8,4.8922133061922235,29,26,0,0,0,1,1,145.1,632,161,90,79,26,39,1,7,12,0,124
윌슨,Twins,28,9,4,3.070588235294118,26,26,1,1,0,0,0,170,689,158,63,58,11,35,1,6,10,1,149
베렛,Dinos,28,6,10,5.283870967741936,29,29,0,0,0,0,0,155,698,178,94,91,24,59,0,9,10,1,144
휠러,Eagles,27,3,9,5.134409404626265,19,19,0,0,0,0,0,101.2,459,128,62,58,12,34,1,10,2,1,94
왕웨이중,Dinos,26,7,10,4.256460349306232,25,25,0,0,0,0,0,141.2,615,169,83,67,16,40,2,2,2,0,108
임창용,Tigers,42,5,5,5.4208516564070415,37,12,0,0,4,4,4,86.1,388,92,54,52,16,29,1,11,5,0,84
듀브론트,Giants,30,6,9,4.915060739945702,25,25,0,0,0,0,0,137.1,629,162,82,75,13,62,1,8,10,3,109
윤석민,Tigers,31,0,8,6.75,28,3,0,0,11,3,0,40,182,55,32,30,9,10,2,0,5,0,29
김광현,Wyverns,29,11,8,2.9779411764705883,25,25,0,0,0,0,0,136,554,125,48,45,16,30,0,2,3,0,130
양현종,Tigers,30,13,11,4.150098088257827,29,29,3,0,0,0,0,184.1,772,199,88,85,21,43,1,2,5,0,152
브리검,Heroes,30,11,7,3.8442211055276383,31,30,2,1,0,0,1,199,829,188,89,85,19,50,0,19,4,0,175
헥터,Tigers,31,11,10,4.603448275862069,29,29,1,0,0,0,0,174,753,209,102,89,25,36,2,4,4,1,137
니퍼트,Wiz,37,8,8,4.252363667254925,29,28,0,0,0,0,0,175.2,765,209,88,83,26,39,2,9,9,0,165
로저스,Heroes,32,5,4,3.7951807228915664,13,13,1,0,0,0,0,83,345,89,40,35,7,16,0,5,8,0,65
피어밴드,Wiz,32,8,8,4.297968150979369,27,26,1,0,0,0,0,163.1,707,186,90,78,24,38,0,6,5,0,141
소사,Twins,32,9,9,3.523903681293562,27,27,1,1,0,0,0,181.1,760,192,83,71,16,28,1,4,6,0,181
린드블럼,Bears,31,15,4,2.881417103192298,26,26,0,0,0,0,0,168.2,681,142,56,54,16,38,0,8,10,0,157
해커,Heroes,35,5,3,5.196650397229516,14,13,0,0,0,0,0,79.2,349,86,49,46,16,30,0,5,2,1,56
헤일,Eagles,30,3,4,4.34171087308921,12,12,0,0,0,0,0,66.1,277,68,35,32,8,17,0,4,3,0,55
배민관,Twins,26,0,0,1.6363636363636365,8,0,0,0,0,0,0,11,51,9,2,2,0,4,0,2,3,0,11
신정락,Twins,31,3,7,5.86183842744424,49,1,0,0,0,0,5,50.2,227,59,37,33,5,17,0,6,3,0,56
이승현,Lions,26,1,1,7.9411764705882355,19,0,0,0,0,0,2,17,82,23,15,15,4,7,0,2,2,0,14
김지용,Twins,30,5,6,5.361702127659575,48,0,0,0,1,6,13,47,198,52,30,28,10,9,1,2,1,0,42
이재학,Dinos,27,5,13,4.7855686925008225,29,29,1,0,0,0,0,152.1,658,157,87,81,13,49,2,10,6,0,116
김건태,Dinos,26,2,3,5.433962264150943,21,9,0,0,0,0,0,53,247,60,38,32,7,24,0,7,3,1,39
박시영,Giants,29,0,0,8.544314730890026,21,1,0,0,0,0,0,26.1,129,35,27,25,6,14,0,1,5,0,19
임기준,Tigers,26,5,1,3.5357142857142856,55,0,0,0,2,2,8,56,243,59,27,22,7,23,0,3,3,1,45
이태양,Eagles,27,4,2,2.836135726604948,63,0,0,0,0,1,12,79.1,325,66,30,25,10,23,2,4,4,0,85
박종훈,Wyverns,26,14,8,4.179925257949902,30,30,0,0,0,0,0,159.1,702,158,81,74,16,54,0,20,3,0,133
임찬규,Twins,25,11,11,5.768168415857354,29,27,0,0,1,0,0,146.2,680,195,104,94,23,47,1,13,6,0,125
이현호,Bears,25,0,0,6.107142857142857,15,2,0,0,1,0,0,28,134,37,19,19,4,13,0,1,1,0,23
양현,Heroes,25,1,1,3.581629167645155,33,0,0,0,0,2,5,32.2,132,31,13,13,4,13,0,1,0,0,20
강동연,Bears,25,1,0,5.399984403382798,8,0,0,0,0,1,0,11.2,49,10,8,7,2,5,0,0,0,0,5
김대우,Lions,29,2,2,7.9266124398226605,8,7,0,0,0,0,0,36.1,176,53,34,32,7,18,0,3,1,0,15
윤영삼,Heroes,25,1,0,4.853927071000544,22,0,0,0,2,0,0,29.2,127,31,18,16,2,8,1,1,1,0,32
임현준,Lions,29,0,1,3.903609703447404,40,0,0,0,0,0,3,27.2,116,20,12,12,3,11,1,5,0,0,26
홍건희,Tigers,25,0,1,10.259979256481149,11,1,0,0,0,0,0,16.2,88,32,20,19,4,7,1,1,0,0,13
한승혁,Tigers,25,7,3,5.829545454545454,21,19,0,0,0,0,0,88,406,105,62,57,8,44,1,4,16,0,65
서진용,Wyverns,25,3,2,6.12,48,0,0,0,1,0,12,50,225,52,36,34,14,23,3,2,4,0,58
김정후,Bears,29,0,1,3.634622450424703,13,0,0,0,0,0,0,17.1,75,12,8,7,3,12,0,1,0,0,12
최성훈,Twins,28,0,0,3.7799923576509493,24,0,0,0,0,0,3,16.2,74,17,7,7,4,9,1,1,2,0,14
변시원,Bears,25,0,0,10.12496801475854,10,0,0,0,0,0,0,10.2,52,16,12,12,2,2,0,4,0,1,8
