Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
레일리,Giants,28,8,10,4.337537121962477,31,31,1,1,0,0,0,184.2,808,207,105,89,21,51,1,17,5,2,147
코프랜드,Twins,28,2,3,5.542108044929527,13,13,0,0,0,0,0,63.1,314,71,53,39,8,42,0,7,13,0,34
켈리,Wyverns,27,9,8,3.6838664994341164,31,31,0,0,0,0,0,200.1,846,205,91,82,15,60,0,7,8,2,152
코엘로,Heroes,31,6,5,3.774193548387097,12,12,0,0,0,0,0,62,271,50,29,26,6,42,0,2,0,0,46
임창용,Tigers,40,3,3,4.371428571428571,34,0,0,0,15,6,0,35,159,45,18,17,5,10,3,1,5,1,38
윤석민,Tigers,29,2,2,3.193548387096774,16,3,1,0,1,0,6,31,139,36,14,11,1,8,0,5,1,0,26
밴헤켄,Heroes,36,7,3,3.375,12,12,0,0,0,0,0,72,287,55,29,27,10,19,0,5,1,0,81
서캠프,Eagles,28,2,5,6.314520985481035,17,8,0,0,1,1,0,41.1,194,54,32,29,5,17,0,5,2,0,36
김광현,Wyverns,27,11,8,3.875912408759124,27,21,1,0,0,0,1,137,583,139,68,59,17,41,2,6,3,0,116
양현종,Tigers,28,10,12,3.6838664994341164,31,31,3,0,0,0,0,200.1,850,191,96,82,19,77,0,2,6,2,146
카스티요,Eagles,27,7,4,6.428571428571429,20,15,0,0,0,1,0,84,393,106,62,60,7,40,0,10,4,0,60
헥터,Tigers,29,15,5,3.3967685925023305,31,31,3,1,0,0,0,206.2,868,211,88,78,7,51,0,6,7,0,139
세든,Wyverns,32,5,5,5.370967741935484,12,12,0,0,0,0,0,62,283,76,52,37,8,17,0,1,8,0,43
지크,Tigers,26,10,13,5.269736842105263,30,29,0,0,0,0,0,152,705,188,104,89,16,68,0,5,5,1,125
웹스터,Lions,26,4,4,5.704225352112676,12,12,0,0,0,0,0,71,325,72,48,45,10,47,0,3,4,1,59
허프,Twins,31,7,2,3.13392707705569,13,11,0,0,0,0,1,74.2,299,72,34,26,2,9,0,1,0,0,46
니퍼트,Bears,35,22,3,2.952280281847159,28,27,1,1,0,0,0,167.2,701,151,61,55,15,57,0,9,8,0,142
보우덴,Bears,29,18,7,3.8,30,30,1,1,0,0,0,180,742,159,83,76,17,54,0,6,8,2,160
플란데,Lions,30,2,6,7.601937805948747,13,13,0,0,0,0,0,68.2,330,92,66,58,13,33,0,1,1,4,56
마리몬,Wiz,27,6,4,5.225806451612903,12,12,0,0,0,0,0,62,275,60,38,36,3,29,0,6,8,0,45
로저스,Eagles,30,2,3,4.300881325982249,6,6,1,0,0,0,0,37.2,160,42,22,18,3,12,0,2,0,3,24
피어밴드,Wiz,30,7,13,4.450549450549451,31,30,0,0,0,0,0,182,803,231,97,90,23,48,0,10,6,3,144
벨레스터,Lions,30,0,3,8.027048958113118,3,3,0,0,0,0,0,12.1,66,20,14,11,1,12,0,0,2,0,5
소사,Twins,30,10,9,5.155778894472362,33,33,0,0,0,0,0,199,870,258,121,114,12,38,2,9,6,0,107
피노,Wiz,32,2,3,7.153846153846154,12,8,0,0,0,0,1,39,191,62,36,31,4,15,0,4,3,0,23
스튜어트,Dinos,29,12,8,4.56,27,27,0,0,0,0,0,150,653,160,79,76,11,55,1,8,4,0,118
린드블럼,Giants,29,10,13,5.278205631794673,30,30,1,0,0,0,0,177.1,791,197,109,104,28,77,0,9,7,0,148
봉중근,Twins,35,1,0,4.954132774889163,19,5,0,0,0,2,2,36.1,175,41,23,20,4,22,0,2,0,0,20
류제국,Twins,33,13,11,4.295463618635145,29,29,1,1,0,0,0,161.1,701,152,83,77,14,70,0,21,13,0,138
해커,Dinos,33,13,3,3.4549679332985708,23,23,0,0,0,0,0,140.2,587,132,57,54,14,31,0,10,5,0,119
이승현,Twins,24,3,1,5.487804878048781,38,0,0,0,0,1,3,41,191,46,28,25,5,23,1,4,1,0,29
김지용,Twins,28,3,4,3.5714285714285716,51,0,0,0,0,1,17,63,258,52,25,25,9,18,3,5,4,0,56
이재학,Dinos,25,12,4,4.5822334733253856,26,24,0,0,0,0,0,127.2,569,140,72,65,19,54,0,6,3,0,134
정대현,Wiz,24,4,10,7.291973645499321,22,22,0,0,0,0,0,91.1,428,115,82,74,13,44,0,5,2,1,57
김건태,Heroes,24,1,5,5.257897375958782,34,4,0,0,0,0,0,63.1,288,71,44,37,9,29,0,6,5,0,28
김현우,Lions,28,1,0,3.4838652873851337,17,0,0,0,0,0,0,20.2,91,26,9,8,3,4,0,2,1,0,19
박시영,Giants,27,2,3,5.39999721630343,42,2,0,0,0,0,1,61.2,277,64,38,37,6,29,3,2,8,0,57
임기준,Tigers,24,0,2,6.0319213804657545,19,6,0,0,1,0,1,31.1,158,37,23,21,2,33,1,4,1,0,15
심동섭,Tigers,24,5,2,6.4513219889733735,54,0,0,0,1,1,13,37.2,182,45,30,27,5,21,0,4,2,0,33
