Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
콜,Bears,34,12,6,4.012738853503185,27,27,2,2,0,0,0,157,678,152,71,70,11,73,1,8,10,0,114
에르난데스,Giants,31,2,0,2.8208935147658996,7,7,1,0,0,0,0,44.2,187,39,19,14,7,11,0,5,1,0,45
키퍼,Tigers,33,19,9,3.336084696225781,32,32,2,0,0,0,0,202.1,823,172,84,75,24,52,2,16,12,0,135
이상훈,Twins,31,7,2,1.6809331535290626,52,0,0,0,18,0,0,85.2,343,53,18,16,8,30,9,3,2,0,92
만자니오,Twins,38,8,11,4.324444396401613,31,29,2,0,0,0,1,162.1,735,161,85,78,13,94,2,21,3,2,122
패트릭,Lions,31,5,7,5.961038961038961,21,20,0,0,0,0,0,77,344,100,52,51,11,20,0,5,2,0,45
레스,Bears,29,16,8,3.8698582476219063,31,31,1,0,0,0,0,202.1,867,202,97,87,19,69,1,8,5,0,154
리오스,Tigers,29,14,5,3.1395280979670206,54,13,3,0,13,0,1,157.2,662,140,59,55,14,44,2,24,5,0,102
러핀,Wyverns,30,1,0,2.5961588931605024,9,0,0,0,0,0,0,17.1,66,8,5,5,1,6,0,1,2,0,18
임창용,Lions,26,17,6,3.083202531937657,36,29,0,0,2,0,0,204.1,841,188,82,70,24,34,4,24,2,0,160
파라,Eagles,29,3,1,6,31,0,0,0,4,0,0,39,183,48,29,26,3,15,3,6,2,0,32
경헌호,Twins,24,1,1,4.643314922426869,40,0,0,0,1,0,2,52.1,226,51,30,27,3,21,0,3,2,0,46
신철인,Unicorns,25,2,1,4.526943522616905,40,0,0,0,1,0,5,55.2,245,60,29,28,4,18,0,3,2,2,54
마일영,Unicorns,21,7,4,4.557556673573726,30,22,0,0,0,0,0,130.1,583,132,76,66,16,69,1,10,7,0,98
이용훈,Wyverns,24,2,3,8.639993408208154,17,5,0,0,0,0,0,41.2,199,51,41,40,11,20,2,5,2,0,46
이명호,Giants,21,0,0,4.295444676721405,21,0,0,0,0,0,1,14.2,67,15,7,7,2,9,1,1,1,0,11
장재혁,Eagles,26,0,1,3.8571391036178593,20,0,0,0,0,0,1,32.2,148,37,18,14,3,12,2,3,5,0,29
