Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
레일리,Giants,31,5,14,3.8784530386740332,30,30,0,0,0,0,0,181,791,191,88,78,10,65,1,8,10,1,140
터너,Tigers,28,7,13,5.458707784019853,28,28,1,0,0,0,0,153.1,714,179,107,93,12,58,0,17,14,0,121
채드벨,Eagles,30,11,10,3.5018864287868507,29,29,0,0,0,0,0,177.1,749,169,73,69,14,63,0,10,8,1,134
요키시,Heroes,29,13,9,3.1268441115703434,30,30,1,1,0,0,0,181.1,746,166,72,63,9,39,0,11,6,0,141
후랭코프,Bears,30,9,8,3.605123872566815,22,22,0,0,0,0,0,117.1,495,110,48,47,5,30,1,13,2,1,111
맥과이어,Lions,30,4,8,5.0474927143028,21,21,1,1,0,0,0,112.1,512,119,68,63,13,66,0,6,3,2,100
산체스,Wyverns,29,17,5,2.618181818181818,28,28,0,0,0,0,0,165,671,151,51,48,2,42,0,2,11,2,148
루친스키,Dinos,30,9,9,3.0451186337276965,30,30,2,0,0,0,0,177.1,731,164,68,60,13,45,0,11,7,0,119
윌슨,Twins,29,14,7,2.918918918918919,30,30,1,0,0,0,0,185,763,171,77,60,7,44,1,10,6,0,137
알칸타라,Wiz,26,11,11,4.013505592349882,27,27,1,0,0,0,0,172.2,724,189,80,77,15,27,0,8,2,2,100
서폴드,Eagles,29,12,11,3.5095382806540556,31,31,0,0,0,0,0,192.1,810,191,84,75,8,54,1,8,8,0,135
쿠에바스,Wiz,28,13,10,3.619565217391304,30,30,0,0,0,0,0,184,760,153,80,74,18,63,0,12,4,0,135
버틀러,Dinos,28,3,6,4.764703579523765,13,13,0,0,0,0,0,73.2,326,78,46,39,6,28,1,2,4,0,49
헤일리,Lions,28,5,8,5.749047094811869,19,19,0,0,0,0,0,87.2,386,95,59,56,5,34,0,6,5,1,84
톰슨,Giants,25,2,3,4.739359297975937,11,11,1,1,0,0,0,62.2,267,54,35,33,4,23,0,5,8,0,60
라이블리,Lions,27,4,4,3.9473684210526314,9,9,1,1,0,0,0,57,236,51,26,25,4,13,0,5,0,0,58
김광현,Wyverns,30,17,6,2.506134084270194,31,30,0,0,0,0,0,190.1,786,198,64,53,13,38,1,2,8,0,180
양현종,Tigers,31,16,8,2.290609491373443,29,29,2,2,0,0,0,184.2,731,165,56,47,6,33,0,2,1,0,163
브리검,Heroes,31,13,5,2.955795835420981,28,28,0,0,0,0,0,158.1,669,148,62,52,5,46,0,12,7,1,130
윌랜드,Tigers,29,8,10,4.745454545454545,28,28,0,0,0,0,0,165,726,191,95,87,17,59,1,5,4,0,137
소사,Wyverns,33,9,3,3.816255857314848,16,16,0,0,0,0,0,94.1,387,85,42,40,15,23,0,2,3,1,96
린드블럼,Bears,32,20,3,2.496570972017912,30,30,0,0,0,0,0,194.2,773,165,57,54,13,29,0,6,7,0,189
프리드릭,Dinos,31,7,4,2.75,12,12,2,1,0,0,0,72,294,63,22,22,4,22,1,3,2,0,56
류제국,Twins,36,0,2,4.218752514572451,11,11,0,0,0,0,0,53.1,243,57,27,25,5,26,1,4,2,0,31
켈리,Twins,29,14,12,2.545291316359041,29,29,0,0,0,0,0,180.1,747,164,70,51,7,41,0,16,12,0,126
