Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
레일리,Giants,27,11,9,3.914505579834944,31,30,1,0,0,0,0,179.1,768,182,93,78,20,57,2,15,13,2,134
켈리,Wyverns,26,11,10,4.12707182320442,30,29,1,0,0,0,0,181,775,188,87,83,16,54,1,5,9,2,139
마야,Bears,33,2,5,8.16585791320841,13,13,1,1,0,0,0,68.1,317,83,62,62,6,31,2,5,0,3,62
임창용,Lions,39,5,2,2.8333333333333335,55,0,0,0,33,5,0,54,219,45,17,17,2,13,2,3,1,0,71
윤석민,Tigers,28,2,6,2.9571428571428573,51,0,0,0,30,8,0,70,297,69,23,23,4,24,7,2,1,0,68
밴헤켄,Heroes,35,15,8,3.61524797286692,32,32,0,0,0,0,0,196.2,825,190,92,79,14,67,1,1,16,0,193
저마노,Wiz,32,3,6,4.9304324929260614,15,14,0,0,0,0,1,76.2,347,111,46,42,7,15,0,3,1,0,40
김광현,Wyverns,26,14,6,3.7188607510643634,30,29,1,1,0,0,1,176.2,754,173,86,73,19,66,2,3,10,0,160
양현종,Tigers,27,15,6,2.4412341695634274,32,31,1,1,0,0,1,184.1,756,150,52,50,18,78,0,7,6,0,157
스틴슨,Tigers,27,11,10,4.958083832335329,32,30,0,0,0,0,0,167,756,190,100,92,15,64,0,14,4,0,93
시스코,Wiz,32,0,6,6.230769230769231,17,5,0,0,0,0,2,39,185,43,34,27,5,25,1,4,10,0,42
세든,Wyverns,31,7,5,4.986486486486487,14,14,1,1,0,0,0,74,319,77,42,41,12,28,0,5,6,0,67
유먼,Eagles,35,4,6,4.516361882183662,17,17,0,0,0,0,0,91.2,406,96,52,46,9,38,1,4,3,1,56
니퍼트,Bears,34,6,5,5.1,20,16,0,0,0,0,0,90,404,104,54,51,4,33,0,4,4,0,76
탈보트,Eagles,31,10,11,4.7206925930650705,30,30,1,0,0,0,0,156.1,695,153,93,82,11,85,4,13,11,4,120
에반,Tigers,32,4,0,4.443043660062814,16,1,0,0,0,0,4,26.1,115,30,15,13,0,13,0,1,4,0,25
김병현,Tigers,36,0,5,6.979591836734694,23,8,0,0,0,0,2,49,232,67,38,38,7,18,1,11,0,1,38
로저스,Eagles,29,6,2,2.9735668827700055,10,10,4,3,0,0,0,75.2,296,62,26,25,2,20,0,4,1,1,60
