Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
존슨,Tigers,29,1,1,5.9610311350971035,5,5,0,0,0,0,0,25.2,121,31,17,17,6,12,0,5,1,0,23
리오스,Bears,32,15,12,3.506499326023618,32,32,3,0,0,0,0,205.1,856,203,88,80,20,57,0,17,4,1,147
스미스,Bears,35,4,6,4.5473684210526315,16,16,0,0,0,0,0,95,424,115,54,48,5,37,3,6,8,0,45
해크먼,Lions,30,3,6,4.797518543676594,15,15,0,0,0,0,0,80.2,358,78,51,43,9,37,1,6,7,0,57
임창용,Lions,29,5,8,6.503652170310205,29,14,0,0,0,0,3,91.1,427,110,67,66,11,36,1,15,3,1,70
산체스,Wyverns,30,4,4,6.167509346390512,14,14,0,0,0,0,0,65.2,298,72,46,45,11,36,0,4,8,0,51
윤석민,Tigers,18,3,4,4.285714285714286,53,0,0,0,7,0,0,84,372,92,47,40,8,32,2,6,3,0,49
왈론드,Twins,28,4,10,5.03731544046021,19,15,1,0,1,0,2,89.1,400,85,56,50,12,49,1,2,8,1,68
오승환,Lions,22,10,1,1.1818181818181819,61,0,0,0,16,0,11,99,358,46,13,13,5,20,1,0,1,0,115
하리칼라,Lions,33,3,2,3.7058823529411766,11,10,0,0,0,0,0,51,229,66,22,21,4,11,0,2,0,0,31
그레이싱어,Tigers,29,6,6,3.925108285256407,14,13,0,0,0,0,0,75.2,320,72,38,33,6,16,0,8,3,0,58
캘러웨이,Unicorns,30,16,9,3.9679122576873693,32,31,0,0,0,0,0,197.1,848,206,99,87,17,54,0,12,3,0,103
경헌호,Twins,27,0,2,3.9754624486481185,43,2,0,0,9,0,4,54.1,226,47,25,24,3,14,0,6,1,0,37
장준관,Twins,24,0,2,6.196731580727179,18,0,0,0,0,0,3,20.1,95,25,17,14,1,10,1,2,4,0,12
박승민,Unicorns,28,1,1,3.857142857142857,29,1,0,0,0,0,1,42,176,37,20,18,4,7,0,7,0,0,43
이상현,Unicorns,24,0,0,4.408172359588586,11,0,0,0,0,0,0,16.1,76,17,9,8,2,8,0,3,2,0,14
이동학,Unicorns,24,0,2,4.039373112005032,26,1,0,0,0,0,0,42.1,199,54,25,19,5,24,0,3,2,0,23
이용훈,Giants,27,7,9,5.009433962264151,22,19,0,0,1,0,0,106,461,94,63,59,12,45,2,6,3,0,106
신승현,Wyverns,21,12,9,3.3749925638231155,30,22,2,2,0,0,0,154.2,653,146,70,58,12,45,0,12,4,0,91
엄정욱,Wyverns,24,1,0,0.6136349538173436,8,2,0,0,1,0,0,14.2,59,8,1,1,0,9,0,1,1,0,18
박만채,Twins,26,1,1,5.340665273462222,13,4,0,0,0,0,0,30.1,145,47,20,18,3,11,1,3,0,0,21
김덕윤,Lions,23,1,0,5.720343606224389,20,1,0,0,0,0,0,39.1,176,45,25,25,5,14,0,3,1,0,40
정원,Tigers,23,2,0,5.829552151208878,21,0,0,0,0,0,0,29.1,132,32,20,19,5,13,0,3,3,0,22
정대현,Wyverns,26,1,0,0.369863525880967,20,0,0,0,3,0,6,24.1,87,10,1,1,0,6,0,0,0,0,18
조형식,Wyverns,22,0,0,2.547164952989164,16,0,0,0,0,0,0,17.2,77,19,6,5,2,8,0,1,2,0,16
채병용,Wyverns,23,8,8,4.239669421487603,26,23,0,0,0,0,1,121,518,103,63,57,18,54,0,8,0,0,96
김건한,Tigers,24,1,3,7.180858786268755,27,0,0,0,0,0,3,31.1,154,39,28,25,5,16,1,6,3,0,19
이재영,Bears,26,1,2,4.0298568265092705,16,1,0,0,0,0,1,22.1,101,24,10,10,4,11,0,0,3,0,20
이대환,Unicorns,26,5,3,5.305679330601276,31,8,0,0,0,0,0,76.1,348,87,49,45,11,29,0,7,2,0,50
조용준,Unicorns,26,2,1,3.2675179083744634,49,0,0,0,27,0,0,52.1,228,47,21,19,6,20,1,3,2,0,61
노병오,Unicorns,21,0,0,10.12502558833867,13,0,0,0,0,0,0,13.1,69,21,15,15,3,8,0,1,1,0,10
안지만,Lions,21,8,3,3.4838694672685273,63,0,0,0,0,0,14,82.2,344,65,35,32,8,36,1,7,0,0,72
고효준,Wyverns,22,4,4,3.5895933969346654,19,11,0,0,0,0,0,57.2,265,28,27,23,2,47,0,16,2,0,67
이명우,Giants,23,0,5,5.337212261605962,46,6,0,0,0,0,3,57.1,271,71,37,34,4,31,1,3,4,0,29
강철민,Tigers,25,3,8,4.678702165123848,23,18,0,0,0,0,0,92.1,424,99,52,48,14,52,0,11,1,0,68
김진우,Tigers,22,6,10,3.910344827586207,31,23,6,1,1,0,0,145,623,126,71,63,10,61,1,12,10,1,123
신용운,Tigers,21,4,6,3.0815233362878596,41,1,0,0,7,0,4,61.1,269,56,26,21,6,33,4,4,2,0,31
신주영,Eagles,21,0,0,2.3592254853716037,24,0,0,0,0,0,1,34.1,139,29,10,9,3,7,0,2,1,0,20
정병희,Eagles,22,3,5,6.557142857142857,58,3,0,0,1,0,9,70,334,82,55,51,10,36,2,11,4,0,55
윤길현,Wyverns,21,5,2,3.6885245901639343,45,2,0,0,1,0,5,61,257,51,27,25,7,25,0,5,3,0,61
정재복,Twins,24,5,3,4.10126582278481,65,0,0,0,4,0,14,79,342,76,39,36,5,36,7,5,3,1,63
김성배,Bears,24,8,3,3.1700418566680164,72,3,0,0,2,0,8,82.1,332,71,30,29,4,24,0,5,3,1,60
전병두,Tigers,20,3,2,3,49,2,0,0,5,0,2,57,240,37,20,19,5,36,0,3,1,0,55
노환수,Unicorns,21,1,1,3.9160276834999816,52,1,0,0,0,0,7,43.2,184,36,22,19,6,13,0,7,2,0,38
임동규,Lions,26,4,2,2.743316907075335,21,8,0,0,0,0,0,62.1,254,55,21,19,5,19,0,1,1,0,39
안영명,Eagles,20,0,2,6.096764252923983,10,4,0,0,0,0,0,20.2,102,26,17,14,3,12,0,2,1,0,14
윤규진,Eagles,20,4,4,3.3415859253459574,53,0,0,0,5,0,9,67.1,293,69,29,25,6,28,2,8,6,0,55
이영욱,Wyverns,24,1,0,2.505153259900845,39,4,0,0,0,0,1,64.2,269,59,19,18,5,15,0,11,1,0,41
민경수,Twins,24,0,0,3.738455724330216,60,0,0,0,0,0,9,21.2,101,27,9,9,0,14,0,1,2,0,16
장진용,Twins,19,2,0,7.977254399625467,12,0,0,0,0,0,0,14.2,75,13,13,13,2,13,0,2,0,1,14
송현우,Twins,23,1,1,4.8214326768540285,33,0,0,0,0,0,3,37.1,171,41,23,20,5,20,1,3,7,0,23
심수창,Twins,24,0,1,4.21875,19,1,0,0,0,0,1,32,144,33,18,15,1,17,2,1,2,0,21
이원희,Bears,19,3,2,3.857142857142857,43,1,0,0,0,0,2,56,249,59,25,24,6,28,0,4,2,0,33
오주원,Unicorns,20,1,11,6.0142210539721,22,18,0,0,0,0,0,70.1,327,79,57,47,5,44,0,2,1,0,37
최대성,Giants,20,0,1,9.204524307260154,11,1,0,0,0,0,0,14.2,76,25,17,15,2,5,0,4,1,0,8
이동현,Tigers,25,4,3,6.339135691713824,23,4,0,0,0,0,2,38.1,187,42,31,27,6,32,1,5,3,1,33
박근홍,Tigers,19,0,4,6.471079480415124,46,2,0,0,1,0,4,40.1,205,48,32,29,0,33,3,6,7,0,37
조영민,Wyverns,24,2,0,3.4363606571191814,27,0,0,0,0,0,2,36.2,154,25,14,14,5,23,2,5,3,0,27
정우람,Wyverns,20,3,1,1.687498742715461,59,0,0,0,1,0,13,42.2,165,28,11,8,3,17,2,1,1,0,32
신재웅,Twins,23,1,0,7.425018764781691,26,0,0,0,0,0,2,13.1,69,22,11,11,1,10,1,0,0,1,9
박정배,Bears,23,1,1,8.217409362904766,12,1,0,0,0,0,0,15.1,74,26,15,14,4,5,0,1,0,0,9
김명제,Bears,18,7,6,4.626168224299065,28,19,0,0,0,0,0,107,452,92,57,55,12,49,0,8,3,0,67
금민철,Bears,18,0,3,4.733769165242904,39,2,0,0,0,0,6,51.1,214,45,28,27,5,20,0,6,2,0,44
조현근,Bears,19,0,0,4,34,1,0,0,0,0,2,36,148,35,16,16,3,8,0,2,1,0,11
이보근,Unicorns,19,0,2,2.4545422320988073,14,1,0,0,0,0,0,25.2,105,22,13,7,3,10,0,0,3,0,16
박성훈,Lions,22,0,0,4.609744731788133,22,0,0,0,0,0,3,13.2,72,19,12,7,1,9,0,2,2,0,13
조정훈,Giants,20,1,0,6.827586206896552,19,0,0,0,0,0,2,29,149,41,23,22,2,19,1,3,5,0,19
이재율,Giants,19,5,3,4.015384615384615,51,0,0,0,3,0,6,65,264,52,30,29,5,21,3,8,2,0,63
블랭크,Tigers,29,4,4,4.258064516129032,20,18,0,0,0,0,0,93,403,85,47,44,16,41,1,6,2,0,45
차정민,Tigers,22,4,1,3.5,30,0,0,0,0,0,3,36,160,36,17,14,2,15,2,7,7,0,19
윤근영,Eagles,19,0,1,5.4,51,0,0,0,1,0,4,40,183,41,28,24,3,25,0,4,3,0,19
Eagles,19,3,6,5.830985915492958,22,11,0,0,0,0,0,71,315,74,50,46,5,33,1,9,1,1,21
조성민,Eagles,32,2,2,6.517252738373695,16,0,0,0,0,0,4,19.1,101,30,15,14,1,9,0,6,0,0,8
이강철,Tigers,39,0,1,3.2033843418906867,18,0,0,0,0,0,3,19.2,85,23,7,7,1,8,0,4,0,0,15
