Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
스미스,Heroes,33,1,0,6.3,2,2,0,0,0,0,0,10,43,9,7,7,1,5,0,0,0,0,5
요키시,Heroes,31,16,9,2.9283089056662646,31,31,0,0,0,0,0,181.1,739,171,71,59,12,46,2,4,9,0,131
뷰캐넌,Lions,32,16,5,3.1016949152542375,30,30,1,1,0,0,0,177,758,173,71,61,13,59,2,2,7,0,162
킹험,Eagles,29,10,8,3.1875,25,25,0,0,0,0,0,144,591,117,58,51,11,41,1,5,4,2,131
브룩스,Tigers,31,3,5,3.3461538461538463,13,13,0,0,0,0,0,78,333,93,34,29,4,16,0,1,0,0,55
루친스키,Dinos,32,15,9,3.1735073723435083,30,30,0,0,0,0,0,178.2,754,160,76,63,12,55,0,10,6,2,177
카펜터,Eagles,30,5,11,3.9705882352941178,31,30,0,0,0,0,0,170,746,150,90,75,16,72,0,19,7,1,179
가빌리오,Landers,31,6,4,5.864754465119063,15,15,0,0,0,0,0,81.1,351,88,54,53,7,30,1,6,3,0,70
쿠에바스,Wiz,30,10,5,3.9121141560430517,24,24,1,1,0,0,0,140.1,604,132,68,61,11,54,0,3,6,0,145
라이블리,Lions,29,0,1,4.050000154495245,6,6,0,0,0,0,0,33.1,140,23,16,15,4,13,0,5,0,0,38
데스파이네,Wiz,34,13,10,3.386925977669219,33,33,0,0,0,0,0,188.2,819,175,81,71,10,78,0,7,15,0,165
미란다,Bears,32,14,5,2.332053674502274,28,28,1,1,0,0,0,173.2,709,135,49,45,11,63,0,1,7,1,225
오승환,Lions,38,0,2,2.021390662978364,65,0,0,0,44,1,0,62.1,253,56,17,14,3,16,3,2,2,0,57
브리검,Heroes,33,7,3,2.9508196721311477,10,10,0,0,0,0,0,61,250,49,25,20,6,26,0,4,3,0,49
폰트,Landers,31,8,5,3.459954112597918,25,25,0,0,0,0,0,145.2,604,114,66,56,12,45,1,6,2,1,157
켈리,Twins,31,12,8,3.152542372881356,30,30,0,0,0,0,0,177,744,160,64,62,12,60,3,11,7,1,142
스트레일리,Giants,32,10,11,4.020120971195887,31,31,0,0,0,0,0,165.2,714,162,85,74,12,67,0,7,8,1,164
신정락,Eagles,34,0,2,8.550002446175322,20,0,0,0,0,0,2,20,102,25,24,19,3,15,2,3,0,0,14
이승현,Lions,29,1,1,9.529413903048773,21,0,0,0,0,0,1,17,86,30,18,18,6,8,0,0,1,0,7
이재학,Dinos,30,6,6,5.204819277108434,17,17,2,1,0,0,0,83,370,74,49,48,14,52,0,6,3,0,65
김대유,Twins,30,4,1,2.1315796963068245,64,0,0,0,0,2,25,50.2,209,32,13,12,2,15,0,9,2,0,56
박시영,Wiz,32,3,3,2.382353408938965,49,0,0,0,0,3,14,45.1,182,31,16,12,4,15,2,1,5,0,51
이태양,Landers,30,5,10,5.72990367754243,40,14,0,0,0,0,5,103.2,456,123,66,66,25,32,1,1,2,0,62
박종훈,Landers,29,4,2,2.8159509861472425,9,9,0,0,0,0,0,54.1,222,40,19,17,2,17,0,7,0,2,41
임찬규,Twins,28,1,8,3.871323637999468,17,17,0,0,0,0,0,90.2,387,76,45,39,7,41,1,3,5,0,67
이우찬,Twins,28,0,1,5.558824153095038,15,5,0,0,0,0,0,34,161,36,25,21,3,25,0,1,0,0,27
송윤준,Eagles,28,0,0,3.552632559699966,17,0,0,0,0,0,1,12.2,55,12,5,5,1,6,1,2,0,0,8
양현,Heroes,28,1,2,4.687501117587356,45,0,0,0,0,0,5,48,225,59,31,25,3,26,4,1,1,0,22
강동연,Dinos,28,3,2,7.8260876055251085,12,3,0,0,0,0,1,23,109,25,21,20,4,14,0,0,3,0,14
김대우,Lions,32,0,2,6.352942126845136,31,4,0,0,0,0,1,51,234,68,39,36,7,15,1,2,1,0,27
임현준,Lions,32,1,2,6.545460220215729,27,0,0,0,0,0,4,11,52,11,8,8,0,7,0,4,0,0,8
홍건희,Bears,28,6,6,2.7847538395960925,65,0,0,0,3,7,17,74.1,303,65,23,23,3,27,0,0,7,1,82
한승혁,Tigers,28,0,3,4.563380772053976,8,5,0,0,0,0,0,23.2,103,25,15,12,0,10,0,2,2,0,17
서진용,Landers,28,7,5,3.341584789462097,65,0,0,0,9,5,4,67.1,297,57,28,25,9,43,7,0,3,0,62
최성훈,Twins,31,1,1,2.4344270668247954,46,0,0,0,0,1,2,40.2,179,40,14,11,2,19,1,1,0,0,33
윤명준,Bears,32,1,0,4.7299284560269825,45,0,0,0,0,0,0,45.2,208,53,28,24,3,20,2,4,1,1,26
김태훈,Heroes,29,4,2,3.217617216281637,66,0,0,0,11,5,15,64.1,282,60,26,23,1,33,2,1,3,1,52
한현희,Heroes,28,6,2,3.887159648469551,18,15,0,0,0,0,1,85.2,372,86,42,37,4,30,0,6,3,0,61
김원중,Giants,28,4,4,3.5904256776211385,61,0,0,0,35,5,0,62.2,268,50,26,25,6,28,4,3,8,0,64
임준섭,Eagles,31,0,0,10.96875359583764,13,0,0,0,0,0,0,10.2,64,19,18,13,1,8,0,4,1,1,11
홍성민,Dinos,31,3,4,3.919355682726515,53,0,0,0,0,2,15,41.1,185,53,19,18,3,12,1,2,2,1,26
임기영,Tigers,28,8,8,4.882352941176471,28,28,0,0,0,0,0,153,662,155,85,83,15,45,0,11,6,2,129
문승원,Landers,31,2,2,2.8609272245931874,9,9,0,0,0,0,0,50.1,212,42,20,16,1,18,0,2,1,0,32
노성호,Lions,31,0,2,4.736842580779485,16,0,0,0,0,0,1,19,82,10,10,10,2,14,0,1,2,0,19
신재영,Landers,31,0,0,5.717647700326325,20,1,0,0,0,0,0,28.1,124,35,18,18,3,2,0,4,1,0,27
최금강,Dinos,32,2,1,4.50000061307643,20,0,0,0,0,0,1,28,129,29,14,14,4,17,0,2,3,0,25
배재준,Twins,26,2,2,4.132653382955542,15,6,0,0,0,0,0,32.2,151,42,17,15,1,13,0,3,1,0,23
함덕주,Twins,26,1,2,4.285715064224073,16,3,0,0,0,0,1,21,98,20,11,10,2,13,1,3,2,0,18
박종기,Bears,26,0,4,5.581006181280699,22,5,0,0,0,0,0,59.2,274,69,42,37,3,29,0,3,3,0,33
조상우,Heroes,26,6,5,3.477273330215685,44,0,0,0,14,0,5,44,187,30,18,17,4,19,2,2,2,0,47
박진형,Giants,27,2,1,7.875002346933588,22,0,0,0,0,1,0,16,81,25,14,14,1,10,1,0,0,0,23
구승민,Giants,31,6,5,4.331551420667923,68,0,0,0,0,4,22,62.1,262,47,30,30,5,31,0,4,4,1,65
고영창,Tigers,32,0,2,5.785716019845042,24,0,0,0,0,1,5,23.1,108,30,19,15,0,10,0,2,0,0,6
박준표,Tigers,29,2,4,5.906251056119989,32,0,0,0,0,2,5,32,158,42,24,21,3,17,0,9,0,0,18
이충호,Eagles,26,1,0,7.714287215697467,17,0,0,0,0,0,0,16.1,85,20,17,14,1,13,0,3,0,0,11
김종수,Eagles,27,1,1,4.821430016537535,49,0,0,0,0,0,5,46.2,208,34,29,25,7,32,0,3,2,0,38
김정빈,Landers,27,0,1,9.865385339104972,6,6,0,0,0,0,0,17.1,92,20,20,19,5,20,0,4,1,0,21
손정욱,Dinos,30,1,0,6.567569260357331,15,0,0,0,0,1,0,12.1,61,17,9,9,1,7,0,0,1,0,8
장현식,Tigers,26,1,5,3.286956957869416,69,0,0,0,1,5,35,76.2,336,67,28,28,7,42,1,3,8,0,80
임정호,Dinos,31,0,4,4.153848286917614,60,0,0,0,0,0,14,34.2,165,37,20,16,2,25,2,3,0,0,24
이상민,Lions,30,1,1,4.743244832584867,30,0,0,0,0,0,3,24.2,110,28,15,13,2,14,0,0,1,0,14
윤호솔,Eagles,26,3,0,4.623289000006349,55,0,0,0,0,0,7,48.2,214,41,29,25,7,30,1,3,3,0,42
박진우,Dinos,31,0,0,1.6363639201014988,9,0,0,0,0,0,1,11,44,6,2,2,0,5,0,1,1,0,12
고영표,Wiz,29,11,6,2.915999911010745,26,25,1,1,0,0,0,166.2,664,147,59,54,9,27,1,14,1,0,130
심재민,Wiz,27,0,1,2.8928575369777048,28,2,0,0,0,0,1,46.2,189,41,15,15,4,11,1,0,0,0,35
박세웅,Giants,25,10,9,3.9754601226993866,28,28,1,1,0,0,0,163,685,141,75,72,20,53,0,10,17,0,125
조현우,Wiz,27,0,0,2.612904351162477,49,0,0,0,0,1,7,31,126,26,10,9,0,7,1,1,2,0,13
이인복,Giants,30,3,0,4.108695992900682,25,8,0,0,0,0,1,61.1,271,75,31,28,5,14,1,5,0,0,45
김유영,Giants,27,1,0,7.232146059373405,26,0,0,0,0,0,0,18.2,92,21,16,15,1,14,0,2,2,0,17
차명진,Tigers,26,0,1,7.593751131557097,4,3,0,0,0,0,0,10.2,57,12,9,9,1,13,0,1,0,0,6
최영환,Giants,29,1,2,6.196722280271293,20,7,0,0,0,0,0,40.2,181,45,30,28,4,24,0,2,4,0,28
황영국,Eagles,25,0,2,5.52272894855424,18,0,0,0,0,2,2,14.2,71,16,10,9,0,10,0,1,2,0,15
조영우,Landers,26,4,8,5.670000216293343,30,8,0,0,1,0,0,66.2,291,74,46,42,10,26,0,0,3,0,48
이승진,Bears,26,1,4,3.9103458563300446,47,0,0,0,2,2,14,48.1,210,41,24,21,3,31,2,2,2,1,28
이건욱,Landers,26,0,1,11.368422479180596,5,4,0,0,0,0,0,12.2,72,16,16,16,4,19,0,1,0,0,5
박민호,Landers,29,4,0,3.731708011479822,40,0,0,0,0,4,6,41,177,45,18,17,3,11,0,4,0,0,19
김민수,Wiz,28,4,2,2.7931039993885958,56,1,0,0,0,2,12,58,253,56,24,18,2,24,3,3,3,1,55
엄상백,Wiz,24,4,1,4.1012660208239025,10,9,0,0,0,0,0,52.2,228,41,24,24,7,28,0,3,0,0,45
