Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
호지스,Lions,31,9,10,4.242865995197582,30,27,0,0,0,0,0,163.1,719,158,91,77,15,81,1,21,9,1,123
후타도,Twins,34,0,4,5.785714285714286,6,6,0,0,0,0,0,28,138,36,24,18,1,21,2,2,1,1,13
키퍼,Bears,35,7,9,4.6880878279338125,19,19,0,0,0,0,0,103.2,454,115,62,54,12,38,3,7,6,0,50
이상훈,Wyverns,33,0,3,5.142857142857143,18,0,0,0,3,0,1,14,61,11,8,8,2,9,1,0,0,0,15
레스,Bears,31,17,8,2.601324485988159,29,29,4,2,0,0,0,200.2,831,189,68,58,12,57,3,15,6,0,116
리오스,Tigers,31,17,8,2.869756087031157,32,32,3,2,0,0,0,222.2,932,209,75,71,10,70,1,25,3,0,145
쿠퍼,Twins,29,4,4,4.747250259708436,15,12,0,0,0,0,1,60.2,266,66,35,32,8,25,1,4,0,0,31
임창용,Lions,28,2,4,2.014925373134328,61,0,0,0,36,0,0,67,271,51,19,15,4,22,1,4,0,0,67
피어리,Unicorns,34,16,6,3.3192598286085633,28,28,0,0,0,0,0,181.2,759,166,73,67,24,61,0,9,1,1,130
마뇽,Tigers,31,8,9,4.171682971831854,34,26,1,1,0,0,1,155.1,672,156,76,72,15,63,0,9,1,0,83
장준관,Twins,23,0,0,3.4615384615384617,12,0,0,0,0,0,0,13,60,14,7,5,2,8,1,1,0,0,7
김광수,Twins,23,0,0,6.857142857142857,8,0,0,0,0,0,0,21,103,35,19,16,2,7,0,0,6,0,8
신철인,Unicorns,27,1,0,2.4827586206896552,29,0,0,0,0,0,1,29,121,24,8,8,3,11,0,2,1,1,30
마일영,Unicorns,23,4,4,4.705396276309314,26,13,1,0,0,0,0,80.1,372,99,46,42,6,37,0,6,4,0,46
김성태,Unicorns,22,1,1,8.25,20,0,0,0,0,0,1,24,117,32,22,22,5,11,0,3,2,0,17
이용훈,Giants,26,1,3,4.009897203825767,15,4,1,0,0,0,0,33.2,140,28,17,15,1,10,1,4,1,1,36
조규수,Eagles,22,2,3,7.6810281679316486,20,4,0,0,1,0,0,38.2,185,51,35,33,7,19,1,4,1,0,26
이승호,Wyverns,27,15,9,3.9940828402366866,31,30,1,0,0,0,1,169,743,160,87,75,21,87,2,13,2,0,145
신승현,Wyverns,20,2,7,4.878504672897196,58,9,0,0,0,0,3,107,446,99,60,58,13,32,0,16,7,0,64
엄정욱,Wyverns,23,7,5,3.759505561520264,22,19,1,1,1,0,1,105.1,454,88,48,44,5,50,1,11,8,0,119
이동현,Twins,21,1,3,2.868751709909266,48,0,0,0,12,0,5,53.1,228,46,18,17,1,26,3,1,1,0,48
박만채,Twins,25,2,0,4.846153846153846,4,2,0,0,0,0,0,13,54,12,8,7,3,2,0,2,1,0,9
김덕윤,Lions,22,0,0,3.272727272727273,18,1,0,0,0,0,0,22,98,21,13,8,3,9,1,3,0,0,16
김장현,Giants,25,4,11,5.430579525222609,25,23,0,0,0,0,0,117.2,510,123,78,71,17,36,1,5,3,1,61
김주철,Tigers,22,1,1,6.3,10,3,0,0,0,0,0,20,99,25,16,14,5,16,0,2,3,0,11
지승민,Lions,25,3,1,3.4534843126636643,52,0,0,0,0,0,17,28.2,121,21,11,11,6,15,3,1,1,0,34
정대현,Wyverns,25,2,3,2.3365396613911575,52,0,0,0,2,0,16,69.1,280,62,22,18,2,14,3,5,0,0,50
김건한,Wyverns,23,3,3,3.5454545454545454,47,5,0,0,1,0,6,99,426,99,42,39,10,43,3,10,7,1,53
