Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
채드벨,Eagles,31,2,8,5.961038961038961,16,16,0,0,0,0,0,77,346,85,54,51,10,35,1,5,3,0,61
요키시,Heroes,30,12,7,2.141962558178517,27,27,0,0,0,0,0,159.2,640,144,53,38,6,25,0,6,3,1,115
뷰캐넌,Lions,31,15,7,3.4522902773960653,27,27,1,0,0,0,0,174.2,728,172,71,67,16,50,0,7,2,0,121
킹험,Wyverns,28,0,2,6.750000402331376,2,2,0,0,0,0,0,10.2,52,16,11,8,1,4,0,0,1,0,6
브룩스,Tigers,30,11,4,2.4977974407783354,23,23,1,1,0,0,0,151.1,586,131,43,42,4,24,0,3,3,1,130
루친스키,Dinos,31,19,5,3.0491803278688523,30,30,0,0,0,0,0,183,770,173,67,62,14,57,0,11,11,0,167
가뇽,Tigers,30,11,8,4.340292552098574,28,28,0,0,0,0,0,159.2,702,162,86,77,7,64,0,9,14,0,141
라이트,Dinos,30,11,9,4.680761401364697,29,29,0,0,0,0,0,157.2,696,164,87,82,12,63,0,10,5,2,125
윌슨,Twins,30,10,8,4.417051001838016,25,25,0,0,0,0,0,144.2,628,161,81,71,13,39,0,8,4,1,109
알칸타라,Bears,27,20,2,2.536912686727826,31,31,1,0,0,0,0,198.2,795,174,58,56,12,30,0,9,3,1,182
서폴드,Eagles,30,10,13,4.909090909090909,28,28,1,1,0,0,0,165,734,203,107,90,19,42,0,13,10,0,97
쿠에바스,Wiz,29,10,8,4.10126582278481,27,27,0,0,0,0,0,158,668,152,80,72,16,46,0,9,4,0,110
샘슨,Giants,28,9,12,5.4,25,25,0,0,0,0,0,130,590,167,87,78,14,36,0,6,8,2,87
플렉센,Bears,25,8,4,3.008571494153083,21,21,0,0,0,0,0,116.2,472,97,43,39,6,30,2,2,5,0,132
라이블리,Lions,28,7,7,4.258928571428571,21,21,0,0,0,0,0,112,478,98,54,53,11,39,0,12,2,0,95
데스파이네,Wiz,33,15,8,4.333868591106217,35,34,0,0,0,0,0,207.2,906,233,105,100,18,68,1,8,17,0,152
핀토,Wyverns,26,6,15,6.166666666666667,30,30,0,0,0,0,0,162,766,198,121,111,19,90,3,11,11,2,112
오승환,Lions,37,3,2,2.6433569959303043,45,0,0,0,17,4,2,47.2,201,44,14,14,2,15,0,2,1,0,39
양현종,Tigers,32,11,10,4.700193562319656,31,31,0,0,0,0,0,172.1,746,180,99,90,13,64,0,5,7,0,149
브리검,Heroes,32,9,5,3.616822429906542,21,21,0,0,0,0,0,107,456,98,45,43,6,42,1,5,8,0,105
