Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
윤석민,Tigers,26,3,6,4.003800655315408,30,11,1,0,7,1,2,87.2,372,91,41,39,9,28,0,1,0,1,76
밴헤켄,Heroes,33,12,10,3.7298890449267197,29,29,0,0,0,0,0,161.2,705,178,78,67,11,58,0,10,11,1,137
오승환,Lions,30,4,1,1.7419344121044453,48,0,0,0,28,2,0,51.2,196,33,13,10,4,10,0,2,0,0,54
바티스타,Eagles,32,7,7,4.197205821423098,29,24,0,0,0,0,0,143.2,640,141,77,67,9,70,1,13,8,1,150
김선우,Bears,35,5,6,5.5193399246700166,17,12,0,0,0,0,0,60.1,267,77,41,37,6,18,0,7,0,0,20
김광현,Wyverns,24,10,9,4.466165413533835,25,22,0,0,0,1,0,133,580,128,72,66,12,68,0,4,9,1,102
양현종,Tigers,25,9,3,3.0955315483085286,19,17,1,0,0,0,0,104.2,443,99,38,36,10,43,0,6,3,1,95
빌로우,Tigers,27,3,2,4.0212765957446805,11,8,0,0,1,0,0,47,208,45,26,21,1,26,1,1,2,0,38
앤서니,Tigers,30,0,3,4.5,30,0,0,0,20,4,0,36,159,42,18,18,1,15,0,3,0,0,25
세든,Wyverns,29,14,6,2.9786531053253404,30,30,1,0,0,0,0,187.1,780,169,65,62,14,73,2,11,16,1,160
유먼,Giants,33,13,4,3.5379372706392784,31,31,0,0,0,0,0,193.1,829,186,81,76,19,78,0,5,3,0,141
니퍼트,Bears,32,12,4,3.5847457627118646,19,19,1,0,0,0,0,118,482,108,52,47,7,34,0,4,3,0,104
밴덴헐크,Lions,28,7,9,3.9466263693978383,24,24,0,0,0,0,0,143.2,612,127,67,63,11,48,2,11,3,0,137
이브랜드,Eagles,29,6,14,5.5357943122972655,32,30,2,0,0,0,0,172.1,758,190,110,106,7,65,0,10,11,0,129
레이예스,Wyverns,28,8,13,4.838150289017341,30,29,2,1,0,0,0,173,751,157,99,93,15,91,0,7,11,0,135
리즈,Twins,29,10,13,3.064139584557579,32,32,2,1,0,0,0,202.2,837,153,78,69,11,88,1,20,8,0,188
김병현,Heroes,34,5,4,5.25663965252075,15,14,0,0,0,0,0,75.1,334,71,46,44,7,36,0,13,4,0,43
소사,Tigers,27,9,9,5.465575733460518,29,28,0,0,0,0,1,164.2,748,196,111,100,11,68,3,9,10,1,143
옥스프링,Giants,36,13,7,3.2890970228576806,30,30,1,1,0,0,0,183.1,774,164,79,67,10,69,1,11,2,0,144
봉중근,Twins,32,8,1,1.3278688524590163,55,0,0,0,38,3,0,61,241,44,10,9,2,27,3,3,3,0,54
류제국,Twins,30,12,2,3.8686451745669723,20,20,0,0,0,0,0,111.2,485,109,50,48,11,50,1,9,7,1,88
나이트,Heroes,37,12,10,4.43049318636026,30,30,0,0,0,0,0,172.2,769,192,96,85,10,79,1,14,2,0,129
아담,Dinos,25,4,8,4.123634761993778,17,16,0,0,0,0,0,91.2,383,93,48,42,12,27,0,1,4,2,70
해커,Dinos,30,4,11,3.6336518034083523,27,26,3,0,0,0,0,178.1,744,163,83,72,12,50,0,17,5,0,127
로드리게스,Lions,25,3,5,4.395351274263733,11,11,0,0,0,0,0,57.1,249,49,29,28,6,30,0,2,3,1,46
서재응,Tigers,36,5,9,6.535714285714286,19,16,0,0,0,0,0,84,394,116,69,61,5,33,3,4,3,0,36
올슨,Bears,29,1,1,6.517236021275338,10,10,0,0,0,0,0,38.2,180,41,30,28,2,27,0,5,5,0,35
신정락,Twins,26,9,5,4.25542322531073,26,21,0,0,0,0,0,122.2,525,128,62,58,8,30,1,16,1,0,82
이재학,Dinos,22,10,5,2.8846153846153846,27,24,2,1,1,0,0,156,646,123,53,50,12,59,2,14,2,0,144
문성현,Heroes,21,5,4,4.5,17,10,0,0,0,1,0,64,280,73,35,32,8,22,0,3,2,0,55
김현우,Lions,25,0,0,3.4615384615384617,10,0,0,0,0,0,0,13,55,11,5,5,2,6,0,0,0,0,18
심동섭,Tigers,21,0,2,3.24,28,0,0,0,0,0,3,25,118,20,13,9,1,19,0,4,6,0,27
안승민,Eagles,22,3,4,7.485141447141433,18,3,0,0,0,2,2,33.2,161,51,31,28,5,9,2,1,3,0,12
김경태,Eagles,22,0,4,6.557152326558612,16,3,0,0,0,0,2,23.1,115,21,20,17,1,21,0,5,6,0,15
이태양,Eagles,22,0,3,6.230765965867322,31,5,0,0,0,0,0,60.2,278,75,44,42,10,23,0,6,0,0,39
임찬규,Twins,20,1,1,4.704545454545454,17,4,0,0,0,0,0,44,201,51,24,23,7,21,1,0,3,0,45
이정호,Bears,21,0,3,9.545454545454545,13,7,0,0,1,0,0,33,162,46,35,35,4,20,0,3,4,0,25
이태양,Dinos,20,4,8,5.665175870062209,22,13,0,0,0,1,0,74.2,331,78,51,47,7,30,0,10,1,1,49
김명성,Bears,25,0,0,4.090909090909091,8,0,0,0,0,0,0,11,47,7,5,5,0,7,0,0,2,0,9
한승혁,Tigers,20,0,0,4.7368421052631575,11,0,0,0,0,0,0,19,92,24,10,10,0,8,0,2,3,0,15
유창식,Eagles,21,5,10,6.781391979856705,25,15,0,0,0,0,2,71.2,356,89,56,54,4,54,0,5,12,0,47
윤명준,Bears,24,4,1,4,34,0,0,0,4,2,7,45,196,50,20,20,0,15,1,4,1,1,35
변시원,Bears,20,2,1,4.695656067936166,38,0,0,0,0,0,6,38.1,170,37,21,20,2,19,0,8,2,0,20
한현희,Heroes,20,5,0,3.207922488332119,69,0,0,0,1,1,27,67.1,287,64,27,24,7,25,0,8,4,0,56
임준섭,Tigers,23,4,8,5.228571428571429,36,18,0,0,0,0,2,105,487,116,66,61,10,67,0,8,6,0,55
박지훈,Tigers,23,2,1,10.921335909751223,35,0,0,0,1,1,4,29.2,155,48,36,36,6,22,1,1,5,0,27
홍성민,Giants,23,4,2,3.143833562881285,25,3,0,0,1,0,2,48.2,207,54,20,17,3,18,0,3,1,0,22
임기영,Eagles,20,1,2,4.5,26,0,0,0,0,0,1,34,160,44,18,17,3,17,1,3,1,1,30
문승원,Wyverns,23,0,1,5.547952888214505,16,1,0,0,0,0,0,24.1,107,29,16,15,5,6,0,3,1,0,13
노성호,Dinos,23,2,8,7.293103448275862,38,10,0,0,0,2,2,58,268,64,50,47,9,38,0,2,6,1,62
이민호,Dinos,19,1,3,4.206032408305171,56,0,0,0,10,5,1,66.1,294,59,31,31,6,34,1,8,10,0,60
최금강,Dinos,24,0,2,4.277223684080819,30,0,0,0,0,0,4,33.2,158,32,17,16,0,20,0,4,6,0,33
손동욱,Tigers,23,0,0,12.342821493446396,13,0,0,0,0,0,0,11.2,61,15,16,16,2,10,0,2,1,1,10
조지훈,Eagles,19,0,3,6.113213047183277,21,3,0,0,0,0,0,35.1,154,30,24,24,7,15,0,3,8,1,30
송창현,Eagles,23,2,8,3.70161130897281,30,14,0,0,0,0,0,82.2,348,58,40,34,9,47,0,5,4,2,46
손정욱,Dinos,22,0,1,1.7704947373506228,32,0,0,0,0,0,1,20.1,83,15,5,4,2,9,1,2,0,1,10
이성민,Dinos,23,3,4,5.150286178210607,40,3,0,0,0,2,4,57.2,266,65,35,33,8,27,0,7,0,1,33
김광수,Eagles,32,3,3,5.719208813411792,56,1,0,0,1,0,4,67.2,293,75,45,43,3,16,3,6,0,0,41
마일영,Eagles,32,0,1,6.56758551118346,13,1,0,0,0,0,0,12.1,60,17,9,9,1,6,0,2,0,0,6
신승현,Tigers,29,1,1,4.877416353892447,55,0,0,0,0,1,8,51.2,244,49,35,28,5,35,2,8,4,0,55
이동현,Twins,30,6,3,3,64,0,0,0,1,3,25,72,302,70,29,24,4,25,3,3,1,0,53
김태영,Bears,33,4,4,5.91044776119403,35,7,0,0,0,0,3,67,295,78,46,44,5,23,0,5,1,0,36
정대현,Giants,34,5,4,3.3311708940598215,58,0,0,0,1,6,16,51.1,227,56,21,19,3,21,7,8,2,0,34
채병용,Wyverns,31,0,3,7.9672263180778025,12,2,0,0,1,0,0,20.1,103,30,18,18,2,16,1,3,1,1,12
김건한,Lions,32,1,0,12.55816905811044,11,0,0,0,0,0,0,14.1,84,31,20,20,1,11,1,0,0,0,12
이재영,Wyverns,34,2,4,5.564881444973658,44,0,0,0,0,1,3,43.2,193,39,30,27,5,24,1,5,2,0,35
이대환,Tigers,34,0,0,4.108704681452383,12,0,0,0,0,0,0,15.1,67,17,7,7,0,7,1,1,0,0,12
권혁,Lions,29,0,1,3.9633062199113303,52,0,0,0,0,0,3,36.1,158,35,17,16,5,16,0,1,1,0,41
안지만,Lions,29,6,2,3.1099460911645482,54,0,0,0,0,3,22,63.2,254,46,23,22,3,23,2,3,5,0,60
이명우,Giants,31,2,4,3.0718545332043283,74,0,0,0,1,0,20,55.2,226,41,19,19,2,25,1,1,1,0,32
