NAME,TEAM,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IB,HBP,SO,SF,SH,GDP,SB,CS,AVG
정진호,Eagles,47,167,145,33,24,9,0,0,9,15,15,1,1,22,2,6,5,4,1,0.228
노태형,Eagles,18,49,43,5,4,1,0,0,6,1,6,0,0,15,0,0,0,0,0,0.116
정의윤,Landers,62,178,165,38,29,2,0,7,21,24,11,1,0,37,2,2,5,0,1,0.230
박주홍,Heroes,23,56,47,5,3,2,0,0,4,3,9,0,0,21,0,0,1,1,1,0.106
김동엽,Lions,69,203,185,44,31,9,0,4,20,24,10,0,4,42,4,4,2,2,1,0.238
장운호,Eagles,102,338,285,67,57,10,0,0,36,28,36,0,7,77,3,10,7,3,6,0.235
오재원,Bears,45,79,72,12,9,3,0,0,6,5,6,0,0,18,1,1,3,2,0,0.167
이도윤,Eagles,56,68,63,11,11,0,0,0,5,2,4,0,0,18,0,1,1,1,2,0.175
박정현,Eagles,33,120,107,21,17,4,0,0,10,9,9,0,0,32,1,4,1,1,0,0.196
보어,Twins,32,117,100,17,12,2,0,3,7,17,11,0,3,30,3,3,2,0,0,0.170
변상권,Heroes,72,171,159,38,29,5,4,0,19,20,9,0,0,40,3,3,2,0,0,0.239
예진원,Heroes,52,132,114,18,10,6,1,1,16,8,12,0,2,28,1,4,2,0,1,0.158
이원석,Eagles,43,130,114,20,17,1,1,1,12,9,8,0,2,43,2,6,1,4,2,0.175
유장혁,Eagles,34,112,98,14,8,5,0,1,11,7,8,0,2,39,2,3,2,2,1,0.143
임종찬,Eagles,42,146,131,20,14,5,0,1,9,8,12,0,1,49,0,2,2,0,1,0.153
