Type,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
G,0.76445,-0.71213,-1.3441,-1.1143,0,0,0,0,0.75026,2.281,2.0298,-0.22523,0.10496,-0.12434,0.025921,0.098447,0.19413,0.069689,1.3862,0.13331,0.3604,0,-0.023211,0,0,0,0,-3.8609,30.105,-10.546,0.53913
IP,0.5931,1.5692,0.4267,-1.4116,0.7463,2.639,5.8493,-1.1491,-0.129,-0.2987,-0.5246,0,0,0,0,0,0.4336,0.1268,0,0.2769,-0.0665,0,0.2384,0,0,0,0,0,0.4158,-18.1996,0.1082
ERA,0.064078,-0.0092128,-0.014204,0,0.04389,-0.020265,-0.013667,0.029733,0.0049077,-0.0031259,-0.0096663,0.055955,-0.018786,-0.001828,0.051821,0,0.097759,0.063414,-0.0056151,0.045878,0,0,0.00044518,0,0,0,0,4.3429,-5.6624,-8.9987,0
WHIP,0.039564,-0.0012239,-0.0038915,0.10941,-0.0078847,-0.0010396,0.026854,-0.0045881,-0.0039473,-0.00096056,-0.0035808,-0.016944,0.0040113,0.0019734,-0.0042285,-0.014111,0.0080715,0.00044284,0,-0.0021226,0,0,-0.00038043,-0.005646,0,0,0,0,2.5817,0,0
W,0.2149,0,-0.264,0.1532,-0.0294,0.1524,0.322,0,0,0,0.0264,0,0,0.0637,-0.1496,0,0.0251,-0.0472,0,0.0242,-0.0181,0,0.0566,0,0.6917,0.8592,-0.2017,-6.3616,-6.3079,-2.8029,0.1727
L,0.0326,-0.2333,0,-0.0632,0,0.1776,0.0367,0.1222,0.0507,0.3065,0.0647,0,0,-0.0059,0.0974,-0.0106,-0.0221,0.0115,0.0932,0.0114,0,0,0,-0.0828,0.127,0,0.5645,-0.1785,1.2512,0.0584,-0.3513
SO,-1.2486,0.29317,0,4.2917,-0.52724,0.3646,-1.1824,0,0.1646,0.31343,0.3117,0,0.44687,-1.1116,-0.10152,0,0.84297,-1.3,0,-0.87706,0.6304,0,0,0,2.5038,-4.1409,0,-44.328,408.19,52.432,0
HLD,-0.046061,0,0,0.55515,0.22766,0,0,0,-0.40664,0.78333,0,0.18613,-0.064927,0.045179,0.063126,-0.059492,-0.049685,0.061687,0,0.032846,-0.063737,0,0.0055844,0,0,0.025522,0.83084,1.0713,-18.519,7.2077,-1.3619
S,0.16675,0,0,1.068,0.2204,0,0,0,0,2.0715,-0.76775,-0.014348,0,0.011827,0.091965,-0.10261,-0.040208,0.075554,0,-0.034207,-0.068446,0,-0.010233,0,-0.53338,-0.57827,1.4592,5.7902,-28.618,15.523,-2.5244
