Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
강정호,Heroes,27,117,418,501,149,71,36,2,40,103,117,68,2,106,13,2,0,8,3,3,0.35645933
박병호,Heroes,27,128,459,571,139,69,16,2,52,126,124,96,3,142,12,4,0,13,8,3,0.30283224
김현수,Bears,26,125,463,528,149,106,26,0,17,75,90,53,5,45,7,5,0,10,2,0,0.32181425
황재균,Giants,26,128,486,550,156,108,33,3,12,66,76,53,0,86,3,4,4,8,17,10,0.32098765
조쉬벨,Twins,27,63,240,275,64,45,8,1,10,33,39,30,2,56,1,4,0,10,3,0,0.26666667
칸투,Bears,32,111,376,419,116,72,25,1,18,56,72,34,0,85,7,2,0,11,1,0,0.30851064
히메네스,Giants,32,80,260,303,82,53,15,0,14,42,61,41,2,57,1,1,0,11,0,2,0.31538462
김하성,Heroes,18,60,48,59,9,4,2,1,2,17,7,8,0,13,0,1,2,2,4,3,0.1875
스캇,Wyverns,36,33,105,130,28,15,7,0,6,17,17,20,1,18,3,2,0,1,0,0,0.26666667
테임즈,Dinos,27,125,443,514,152,79,30,6,37,95,121,58,5,99,7,6,0,6,11,2,0.34311512
피에,Eagles,29,119,445,498,145,93,33,2,17,61,92,41,1,60,0,12,0,11,9,11,0.3258427
로티노,Heroes,34,79,216,247,66,46,18,0,2,30,22,29,3,22,1,1,0,7,2,0,0.30555556
나바로,Lions,26,125,500,602,154,95,27,1,31,118,98,96,1,71,1,5,0,7,25,9,0.308
필,Tigers,29,92,362,389,112,66,27,0,19,64,66,22,1,65,3,2,0,10,10,1,0.30939227
스나이더,Twins,32,37,100,113,21,10,7,0,4,17,17,9,0,31,3,1,0,0,0,2,0.21
백진우,Twins,26,51,84,96,17,14,2,0,1,15,10,10,0,17,0,1,1,2,3,4,0.20238095
이태원,Dinos,28,62,66,69,8,6,2,0,0,5,4,2,0,20,0,0,1,0,0,0,0.12121212
김응민,Bears,22,11,10,12,2,2,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0.2
송주호,Eagles,25,17,22,26,3,3,0,0,0,5,2,4,0,7,0,0,0,0,1,0,0.13636364
백상원,Lions,26,31,22,26,4,4,0,0,0,7,2,3,0,3,0,1,0,0,0,0,0.18181818
정훈,Giants,26,124,477,558,140,103,27,7,3,89,58,62,0,105,11,2,6,10,8,4,0.29350105
오태곤,Giants,22,57,45,50,11,7,3,0,1,10,5,5,0,18,0,0,0,0,2,1,0.24444444
이상호,Dinos,25,96,51,54,11,8,2,0,1,30,5,2,0,10,0,1,0,1,11,5,0.21568627
이종환,Tigers,28,92,122,138,35,24,9,0,2,14,23,11,0,33,2,1,2,1,0,2,0.28688525
이상훈,Lions,27,10,10,11,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
안정광,Wyverns,24,15,29,32,6,5,1,0,0,4,4,3,0,9,0,0,0,0,1,1,0.20689655
고종욱,Heroes,25,8,12,14,0,0,0,0,0,2,0,2,0,4,0,0,0,0,1,0,0
김도현,Wyverns,21,7,12,13,1,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0.08333333
문우람,Heroes,22,122,324,368,92,58,24,4,6,46,43,33,0,54,2,2,7,10,5,3,0.28395062
김민하,Giants,25,55,94,98,25,15,8,0,2,23,7,2,0,34,1,0,1,0,3,1,0.26595745
강경학,Eagles,21,41,86,103,19,13,2,3,1,11,7,13,0,28,2,0,2,1,0,0,0.22093023
박계현,Wyverns,22,62,129,144,44,35,9,0,0,23,13,8,0,24,0,3,4,2,7,3,0.34108527
박해민,Lions,24,119,310,373,92,76,11,4,1,65,31,37,0,45,6,1,19,4,36,8,0.29677419
엄태용,Eagles,20,17,17,17,3,2,1,0,0,2,2,0,0,5,0,0,0,0,0,0,0.17647059
한유섬,Wyverns,24,67,143,163,36,20,10,3,3,17,24,11,0,53,5,2,2,1,0,0,0.25174825
박민우,Dinos,21,118,416,491,124,93,21,9,1,87,40,56,0,89,11,4,4,5,50,10,0.29807692
노진혁,Dinos,24,26,16,16,3,2,0,0,1,3,2,0,0,7,0,0,0,0,0,1,0.1875
김성욱,Dinos,21,26,23,26,4,2,1,0,1,6,1,3,0,9,0,0,0,0,1,0,0.17391304
나성범,Dinos,24,123,477,536,157,94,28,5,30,88,101,42,2,128,15,1,1,4,14,5,0.32914046
황목치승,Twins,29,37,46,51,14,13,0,1,0,11,3,1,0,9,0,0,4,1,2,2,0.30434783
김재민,Twins,23,38,16,18,1,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0.0625
이흥련,Lions,25,88,132,155,30,24,4,1,1,21,17,14,0,24,5,0,4,0,1,0,0.22727273
김광연,Tigers,22,8,10,10,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
고장혁,Tigers,24,21,24,27,2,0,2,0,0,4,1,1,0,6,1,1,0,0,0,0,0.08333333
장운호,Eagles,20,39,64,70,17,15,1,0,1,7,7,1,0,10,1,0,4,1,1,1,0.265625
조정원,Eagles,23,20,56,58,7,5,1,1,0,2,6,0,0,10,0,1,1,2,0,0,0.125
권희동,Dinos,23,101,221,252,63,44,10,2,7,39,36,25,2,43,3,2,1,4,6,1,0.28506787
강한울,Tigers,22,93,208,224,55,46,5,4,0,32,14,8,0,44,1,1,6,1,4,2,0.26442308
박찬호,Tigers,19,17,22,23,2,1,1,0,0,3,0,1,0,10,0,0,0,0,0,0,0.09090909
박준태,Tigers,22,32,42,55,11,11,0,0,0,6,2,8,0,18,5,0,0,1,2,0,0.26190476
이창열,Eagles,22,22,21,25,4,1,2,1,0,5,3,3,0,6,1,0,0,0,1,0,0.19047619
김민수,Eagles,23,35,74,78,11,10,1,0,0,5,5,3,0,21,0,0,1,1,0,0,0.14864865
김주찬,Tigers,33,100,399,442,138,93,32,4,9,72,46,31,2,48,4,2,6,11,22,10,0.34586466
김상훈,Tigers,36,9,10,12,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.1
김상현,Wyverns,33,42,80,87,21,12,3,1,5,8,20,5,0,22,1,1,0,2,1,1,0.2625
이성우,Tigers,32,63,124,134,29,25,3,0,1,11,9,3,0,18,1,0,6,9,1,0,0.23387097
김원섭,Tigers,35,44,80,101,18,13,4,1,0,21,13,17,0,13,0,2,2,2,3,1,0.225
장민석,Bears,32,45,70,75,14,9,4,1,0,16,8,3,0,16,1,0,1,0,5,1,0.2
박한이,Lions,35,125,472,567,156,123,22,2,9,83,80,61,1,74,5,5,24,9,7,6,0.33050847
박종윤,Giants,32,123,440,476,136,94,31,4,7,59,73,22,2,65,4,6,4,10,0,2,0.30909091
김경언,Eagles,31,89,300,355,94,67,16,3,8,43,52,40,0,42,4,4,7,8,1,3,0.31333333
박준서,Giants,32,74,99,118,23,13,9,1,0,9,13,14,1,24,1,3,1,1,0,0,0.23232323
김강민,Wyverns,31,113,430,483,130,82,29,3,16,86,82,43,0,91,4,4,2,12,32,5,0.30232558
정상호,Wyverns,31,100,235,269,56,33,13,1,9,36,39,18,0,67,5,1,10,3,0,1,0.23829787
조동화,Wyverns,33,125,443,522,116,97,12,5,2,74,52,43,1,72,4,4,28,8,37,7,0.26185102
박재상,Wyverns,31,38,63,77,12,8,2,1,1,9,6,9,1,13,2,0,3,1,2,1,0.19047619
추승우,Eagles,34,9,6,10,1,1,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0.16666667
