Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
가르시아,Giants,34,118,429,485,108,65,16,1,26,73,83,49,1,123,2,5,0,4,3,0,0.25174825
강정호,Heroes,23,133,449,522,135,91,30,2,12,60,58,61,6,87,7,2,3,14,2,2,0.30066815
박병호,Twins,23,78,160,192,30,19,4,0,7,25,22,26,3,55,2,2,2,5,5,1,0.1875
김현수,Bears,22,132,473,565,150,97,29,0,24,88,89,78,6,64,6,8,0,9,4,8,0.31712474
이대호,Giants,28,127,478,552,174,117,13,0,44,99,133,61,6,77,10,3,0,15,0,2,0.36401674
황재균,Giants,22,94,306,353,69,46,14,3,6,41,40,32,0,73,4,4,6,10,18,7,0.2254902
클락,Heroes,34,92,347,397,92,62,16,2,12,58,50,43,2,72,1,6,0,9,12,7,0.26512968
최희섭,Tigers,31,126,444,532,127,83,22,1,21,78,84,81,7,109,4,3,0,17,4,3,0.28603604
백진우,Twins,22,15,12,15,0,0,0,0,0,3,0,3,0,3,0,0,0,1,0,0,0
이창섭,Heroes,23,8,12,12,2,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0.16666667
정훈,Giants,22,29,45,50,7,5,1,0,1,6,2,1,0,18,2,0,2,0,0,0,0.15555556
홍재호,Tigers,23,24,27,30,3,0,3,0,0,3,4,2,0,8,0,0,1,0,0,0,0.11111111
이종환,Tigers,24,47,87,93,15,7,5,1,2,8,13,6,1,31,0,0,0,0,0,0,0.17241379
이상훈,Eagles,23,34,60,71,10,10,0,0,0,6,2,7,0,11,2,0,2,1,5,1,0.16666667
최윤석,Wyverns,23,47,76,93,7,5,2,0,0,13,2,8,0,19,1,1,7,1,7,1,0.09210526
최승환,Bears,32,42,44,49,11,9,2,0,0,5,5,3,0,8,0,1,1,1,0,0,0.25
강봉규,Lions,32,89,232,279,55,39,12,0,4,38,26,40,0,44,2,1,4,8,8,0,0.23706897
정원석,Eagles,33,118,353,428,106,76,20,3,7,39,42,40,2,73,16,8,11,12,14,9,0.30028329
오윤,Heroes,28,37,61,69,11,7,3,0,1,6,4,8,0,16,0,0,0,2,0,1,0.18032787
전근표,Eagles,33,40,88,103,20,16,3,0,1,12,7,12,0,26,0,0,3,2,1,1,0.22727273
박정환,Wyverns,32,44,92,104,28,18,9,0,1,15,10,7,0,18,1,0,4,2,0,2,0.30434783
김주찬,Giants,29,118,485,535,134,103,18,4,9,89,40,31,1,65,5,3,11,5,65,19,0.27628866
김상훈,Tigers,32,107,300,354,73,58,11,0,4,25,39,34,0,43,4,2,14,11,1,2,0.24333333
홍세완,Tigers,32,10,25,27,5,4,1,0,0,0,1,2,0,6,0,0,0,2,0,0,0.2
김상현,Tigers,29,79,288,330,62,35,5,1,21,44,53,33,1,85,8,1,0,10,3,1,0.21527778
채종범,Tigers,32,29,77,85,18,12,3,0,3,6,13,6,0,15,1,1,0,1,0,1,0.23376623
이성우,Tigers,28,10,16,16,4,4,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0.25
김원섭,Tigers,31,111,353,428,84,60,16,3,5,43,28,56,0,63,2,1,16,5,15,6,0.23796034
장민석,Heroes,28,119,435,493,123,96,16,10,1,60,47,41,0,74,1,4,12,6,41,14,0.28275862
박한이,Lions,31,128,379,470,114,80,21,2,11,64,63,73,2,54,3,5,10,10,5,4,0.30079156
신명철,Lions,31,125,397,476,111,79,22,1,9,56,57,56,2,82,4,6,13,14,20,9,0.27959698
박종윤,Giants,28,110,307,322,79,52,17,2,8,32,51,10,0,49,2,2,1,12,5,4,0.25732899
김경언,Eagles,27,50,158,184,40,31,7,2,0,19,11,23,1,29,0,1,2,2,8,4,0.25316456
박준서,Giants,28,22,49,56,6,4,2,0,0,4,1,3,0,10,1,0,3,1,1,0,0.12244898
조중근,Heroes,27,21,29,31,6,6,0,0,0,2,3,2,1,6,0,0,0,1,0,0,0.20689655
김강민,Wyverns,27,115,401,450,127,96,19,2,10,74,72,33,0,51,2,3,11,5,23,9,0.31670823
정상호,Wyverns,27,35,62,66,20,10,4,0,6,14,14,2,0,19,2,0,0,2,0,0,0.32258065
조동화,Wyverns,29,115,250,300,61,50,7,1,3,38,27,27,0,56,7,2,14,1,15,2,0.244
박재상,Wyverns,27,97,321,384,82,56,19,1,6,57,42,38,1,63,7,5,13,2,9,6,0.25545171
추승우,Eagles,30,111,260,304,61,47,8,4,2,39,23,29,0,62,6,3,6,3,10,6,0.23461538
안치용,Wyverns,31,30,48,58,15,13,1,0,1,3,4,8,0,10,1,1,0,2,2,1,0.3125
유재웅,Bears,31,53,97,105,25,12,6,0,7,17,25,6,1,27,1,0,1,0,0,0,0.25773196
김민우,Heroes,31,128,447,536,115,83,20,3,9,64,44,61,0,85,9,3,16,11,28,6,0.25727069
강귀태,Heroes,30,97,269,300,62,50,9,0,3,24,34,17,0,31,2,3,9,13,0,2,0.23048327
조재호,Heroes,30,46,33,36,4,4,0,0,0,6,4,2,0,9,1,0,0,0,0,0,0.12121212
강병식,Heroes,33,107,251,300,72,53,9,1,9,32,30,34,2,51,11,3,1,5,2,2,0.28685259
현재윤,Lions,30,53,78,92,15,13,1,0,1,4,7,10,1,14,1,0,3,2,1,1,0.19230769
최형우,Lions,26,121,420,506,117,63,29,1,24,71,97,71,5,91,8,5,2,13,4,0,0.27857143
손주인,Lions,26,27,26,32,5,2,3,0,0,2,3,3,1,4,1,0,2,0,0,1,0.19230769
조동찬,Lions,26,95,332,377,97,66,20,2,9,61,51,28,2,75,7,1,9,3,33,5,0.29216867
신종길,Tigers,26,58,131,144,42,32,6,3,1,22,18,4,0,25,4,0,5,1,16,2,0.32061069
이현곤,Tigers,30,108,260,304,68,52,13,1,2,27,28,21,0,38,1,5,17,6,0,2,0.26153846
채상병,Lions,30,17,31,34,11,8,2,0,1,5,5,1,0,6,1,1,0,0,0,0,0.35483871
이대수,Eagles,28,125,375,416,87,66,13,1,7,33,37,26,0,57,6,3,6,4,2,4,0.232
박경수,Twins,26,80,231,286,60,36,21,0,3,33,21,30,0,52,16,1,8,3,10,2,0.25974026
이성열,Bears,25,129,419,484,110,58,27,1,24,77,86,40,0,136,13,3,9,6,6,3,0.26252983
이대형,Twins,26,130,494,568,129,112,14,2,1,73,43,58,0,76,2,1,13,3,66,21,0.2611336
나주환,Wyverns,26,100,305,353,82,60,13,2,7,49,42,25,0,74,5,2,16,3,14,6,0.26885246
권도영,Heroes,29,37,61,72,15,12,3,0,0,7,4,7,0,15,0,0,4,1,0,1,0.24590164
강명구,Lions,29,55,63,70,17,12,5,0,0,17,9,2,1,10,1,0,4,3,7,3,0.26984127
정보명,Giants,29,30,76,86,22,16,5,1,0,6,9,8,0,15,0,1,1,1,0,1,0.28947368
서동욱,Twins,26,11,45,47,11,8,1,0,2,5,4,2,0,15,0,0,0,1,0,0,0.24444444
이양기,Eagles,29,27,44,57,6,4,1,0,1,4,3,7,0,10,5,0,1,1,3,0,0.13636364
박기남,Tigers,28,76,147,173,40,31,6,0,3,26,24,18,0,27,3,1,4,1,3,3,0.27210884
이시찬,Twins,25,13,23,26,4,2,2,0,0,3,2,3,0,4,0,0,0,0,5,0,0.17391304
김태완,Twins,28,72,142,162,36,21,11,0,4,21,19,13,0,34,2,2,3,1,0,2,0.25352113
용덕한,Bears,29,43,44,52,6,4,2,0,0,7,0,3,0,12,3,0,2,1,0,0,0.13636364
유한준,Heroes,28,131,481,543,140,104,27,0,9,52,79,49,0,81,1,4,8,17,2,2,0.29106029
이정식,Lions,28,50,93,104,24,20,3,0,1,12,7,6,0,22,0,0,5,4,2,0,0.25806452
이영수,Tigers,29,42,73,88,18,10,6,0,2,9,13,10,0,11,4,0,1,4,0,0,0.24657534
최진행,Eagles,24,129,464,524,121,67,22,0,32,66,92,47,1,131,9,2,2,15,5,4,0.26077586
박노민,Eagles,24,21,37,39,7,3,3,0,1,3,2,1,0,16,1,0,0,1,0,0,0.18918919
임훈,Wyverns,24,76,172,202,40,29,8,2,1,22,14,20,1,32,0,3,7,1,7,5,0.23255814
박정권,Wyverns,28,124,431,505,132,91,19,4,18,76,76,63,8,89,5,4,2,7,17,5,0.3062645
