Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
가르시아,Giants,33,130,467,539,124,65,29,1,29,72,84,62,3,124,5,5,0,11,4,3,0.26552463
강정호,Heroes,22,133,476,538,136,78,33,2,23,73,81,45,2,81,4,5,8,18,3,2,0.28571429
왓슨,Bears,30,10,38,42,7,4,1,0,2,3,6,4,1,5,0,0,0,1,0,0,0.18421053
박병호,Twins,22,68,188,213,41,25,7,0,9,28,25,20,1,70,4,1,0,3,2,1,0.21808511
김현수,Bears,21,133,482,572,172,112,31,6,23,97,104,80,5,59,4,6,0,7,6,6,0.35684647
이대호,Giants,27,133,478,549,140,83,28,1,28,73,100,51,3,65,16,4,0,13,0,0,0.29288703
황재균,Heroes,21,133,536,608,152,102,27,5,18,86,63,55,0,100,3,8,6,11,30,15,0.28358209
클락,Heroes,33,125,486,559,141,89,24,4,24,85,90,65,2,85,3,2,0,14,23,8,0.29012346
최희섭,Tigers,30,131,435,545,134,78,23,0,33,98,100,96,13,108,7,7,0,14,2,4,0.30804598
디아즈,Eagles,27,62,207,229,55,25,15,0,15,37,39,17,2,76,2,3,0,11,2,1,0.26570048
페타지니,Twins,38,115,388,498,129,87,16,0,26,62,100,97,9,70,7,6,0,7,2,0,0.33247423
최승환,Bears,31,84,214,245,45,31,6,0,8,28,26,23,0,50,2,1,5,7,1,0,0.21028037
강봉규,Lions,31,126,449,529,139,93,24,2,20,89,78,69,2,61,4,1,6,15,20,3,0.30957684
오윤,Heroes,27,19,24,28,3,1,1,0,1,2,2,0,0,5,3,1,0,1,0,0,0.125
박정환,Wyverns,31,45,60,67,19,14,4,0,1,4,9,5,0,11,0,0,2,6,2,1,0.31666667
김주찬,Giants,28,109,435,479,135,93,30,5,7,77,51,28,0,56,6,6,4,7,34,7,0.31034483
김상훈,Tigers,31,124,379,441,87,61,14,0,12,35,65,46,2,72,4,4,8,10,2,1,0.22955145
홍세완,Tigers,31,74,218,257,57,44,8,0,5,26,27,30,2,39,5,1,3,5,2,2,0.26146789
김상현,Tigers,28,121,448,496,141,73,30,2,36,77,127,41,1,103,6,1,0,11,7,5,0.31473214
이성우,Tigers,27,13,13,14,3,2,1,0,0,2,2,1,0,3,0,0,0,2,2,0,0.23076923
김원섭,Tigers,30,101,356,426,107,76,14,9,8,74,43,56,1,55,6,3,5,8,20,10,0.3005618
장민석,Heroes,27,15,25,27,5,4,1,0,0,3,1,1,0,5,0,0,1,1,5,0,0.2
박한이,Lions,30,110,334,394,104,71,29,2,2,48,36,50,2,44,1,3,6,7,7,5,0.31137725
신명철,Lions,30,124,423,485,123,84,17,2,20,71,61,48,1,72,1,3,10,10,21,6,0.29078014
박종윤,Giants,27,47,123,136,32,21,8,1,2,9,19,3,0,23,6,2,2,7,0,1,0.2601626
박준서,Giants,27,40,62,69,13,11,1,1,0,6,2,4,0,18,1,0,2,0,1,0,0.20967742
조중근,Heroes,26,17,18,20,2,2,0,0,0,0,1,1,1,1,0,1,0,3,0,0,0.11111111
김강민,Wyverns,26,104,341,382,91,58,18,3,12,48,42,24,1,67,5,1,11,7,10,7,0.26686217
정상호,Wyverns,26,101,264,312,76,49,15,0,12,37,49,29,0,66,6,5,8,10,0,4,0.28787879
조동화,Wyverns,28,102,169,191,30,23,4,3,0,22,8,8,0,49,3,0,11,2,7,3,0.17751479
박재상,Wyverns,26,133,515,614,152,102,31,4,15,84,81,68,1,107,6,5,20,7,33,11,0.29514563
추승우,Eagles,29,105,193,233,45,41,2,0,2,28,17,24,0,59,12,2,2,1,15,4,0.23316062
박도현,Twins,26,13,14,16,5,5,0,0,0,2,1,1,0,6,0,0,1,1,1,1,0.35714286
안치용,Twins,30,90,224,256,53,42,5,1,5,29,30,27,1,47,1,1,3,3,3,2,0.23660714
유재웅,Bears,30,66,126,144,32,17,11,0,4,16,14,15,0,33,3,0,0,3,0,0,0.25396825
김민우,Heroes,30,78,125,151,33,25,5,0,3,15,10,17,0,36,2,1,6,3,9,0,0.264
강귀태,Heroes,29,114,281,326,70,55,12,0,3,28,37,28,1,49,3,5,9,4,3,2,0.24911032
조재호,Heroes,29,21,27,30,4,2,1,0,1,1,3,2,0,5,1,0,0,1,0,0,0.14814815
강병식,Heroes,32,54,76,94,19,13,4,0,2,9,14,13,0,21,3,1,1,0,2,2,0.25
현재윤,Lions,29,99,245,282,59,42,13,2,2,28,20,21,0,28,6,1,9,6,4,5,0.24081633
최형우,Lions,25,113,415,481,118,71,24,0,23,70,83,53,4,60,9,3,1,12,1,2,0.28433735
손주인,Lions,25,80,178,202,44,39,5,0,0,19,13,13,0,31,2,3,6,7,0,3,0.24719101
조동찬,Lions,25,75,215,252,55,39,8,0,8,34,29,26,1,46,3,2,6,4,21,1,0.25581395
신종길,Tigers,25,16,17,21,4,3,1,0,0,6,1,4,0,5,0,0,0,0,2,1,0.23529412
이현곤,Tigers,29,120,363,428,92,75,15,0,2,35,33,34,0,63,10,6,15,16,11,3,0.25344353
채상병,Lions,29,49,104,111,20,15,3,0,2,8,9,4,0,17,0,0,3,2,0,0,0.19230769
이대수,Bears,27,38,61,66,16,11,4,1,0,5,7,3,0,11,1,0,1,5,1,1,0.26229508
박경수,Twins,25,106,269,344,64,44,12,0,8,45,31,54,0,55,7,2,12,5,6,4,0.23791822
이성열,Bears,24,31,69,79,17,12,3,0,2,7,5,7,0,28,3,0,0,0,2,0,0.24637681
이대형,Twins,25,133,521,597,146,132,10,2,2,92,41,50,1,77,0,4,22,8,64,18,0.28023033
나주환,Wyverns,25,118,382,454,110,82,13,0,15,60,65,41,0,74,7,4,20,8,21,9,0.28795812
권도영,Heroes,28,38,53,63,15,12,3,0,0,3,5,6,0,13,2,0,2,1,1,0,0.28301887
정보명,Giants,28,86,203,234,60,45,12,1,2,15,34,22,0,40,2,4,3,5,2,3,0.2955665
박정준,Giants,25,63,186,216,53,35,12,1,5,33,25,23,0,35,3,1,3,1,3,4,0.28494624
이인구,Giants,28,95,271,308,73,52,13,3,5,34,33,26,0,61,4,2,5,5,6,6,0.26937269
이양기,Eagles,28,15,21,24,2,2,0,0,0,1,0,2,0,6,0,0,1,2,0,0,0.0952381
양승학,Eagles,25,44,90,99,24,15,5,0,4,12,12,7,0,27,2,0,0,2,0,0,0.26666667
박기남,Tigers,27,104,68,89,12,7,5,0,0,16,3,13,0,14,0,1,7,3,2,0,0.17647059
김태완,Twins,27,40,33,43,7,5,2,0,0,10,5,9,0,6,0,1,0,1,3,0,0.21212121
용덕한,Bears,28,79,195,212,48,38,8,1,1,17,14,11,0,43,3,2,1,13,0,2,0.24615385
최진행,Eagles,23,28,55,65,11,6,3,0,2,6,8,7,0,24,2,1,0,0,0,0,0.2
박노민,Eagles,23,46,93,100,21,13,3,0,5,8,14,5,0,33,1,0,1,1,1,0,0.22580645
박정권,Wyverns,27,131,446,511,123,71,27,0,25,70,76,51,4,91,4,2,8,8,5,4,0.27578475
오재일,Heroes,22,43,66,74,13,8,5,0,0,4,4,6,1,15,0,1,1,1,0,0,0.1969697
허준,Heroes,27,40,69,79,17,13,3,1,0,5,10,4,0,24,2,2,2,1,0,0,0.24637681
이원석,Bears,22,125,376,414,112,79,20,4,9,49,53,28,2,52,5,5,0,15,2,6,0.29787234
정근우,Wyverns,26,127,480,565,168,126,29,4,9,98,59,67,1,55,11,5,2,8,53,13,0.35
이병규,Twins,25,16,17,21,3,1,2,0,0,0,4,4,0,10,0,0,0,0,0,0,0.17647059
최주환,Bears,21,9,10,11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
유선정,Heroes,22,33,56,68,10,8,1,0,1,5,8,8,0,9,2,1,1,1,0,0,0.17857143
이여상,Eagles,25,79,199,222,50,38,5,1,6,21,28,15,0,65,4,2,2,5,4,1,0.25125628
연경흠,Eagles,25,122,336,386,85,54,19,1,11,53,47,34,0,88,10,3,3,3,2,1,0.25297619
김태완,Eagles,25,112,360,446,104,62,17,2,23,62,68,72,4,89,11,3,0,6,1,1,0.28888889
송광민,Eagles,26,116,417,440,109,79,15,1,14,50,43,12,1,109,5,1,5,13,5,0,0.26139089
이재원,Wyverns,21,24,32,39,11,9,2,0,0,2,5,6,0,4,1,0,0,1,0,0,0.34375
박용근,Twins,25,101,127,150,27,19,5,2,1,33,9,15,0,29,4,2,2,1,19,6,0.21259843
채태인,Lions,26,118,368,425,108,63,26,2,17,58,72,49,4,90,5,2,1,4,0,0,0.29347826
김민성,Giants,20,114,327,389,81,60,17,0,4,51,37,48,0,72,4,2,8,8,5,5,0.24770642
김연훈,Wyverns,24,68,141,159,45,35,9,0,1,25,17,10,0,30,0,3,5,1,4,2,0.31914894
이호신,Tigers,25,13,16,19,1,1,0,0,0,1,2,1,0,6,0,0,2,0,1,1,0.0625
임도현,Twins,23,15,9,11,1,1,0,0,0,1,0,1,0,5,0,0,1,0,1,1,0.11111111
허승민,Lions,23,21,30,36,7,5,1,1,0,6,1,3,0,8,0,1,2,0,1,2,0.23333333
이영욱,Lions,23,88,193,220,48,36,6,2,4,27,29,19,1,52,3,3,2,4,16,4,0.24870466
장성우,Giants,19,44,98,112,26,19,6,0,1,14,12,8,0,26,1,3,2,8,3,0,0.26530612
김선빈,Tigers,19,72,116,129,34,24,9,1,0,29,6,10,1,13,1,0,2,2,8,2,0.29310345
나지완,Tigers,24,128,384,457,101,66,12,0,23,58,73,58,3,90,8,4,3,9,4,1,0.26302083
최용규,Tigers,23,51,54,57,14,13,0,0,1,10,5,3,0,16,0,0,0,0,7,5,0.25925926
이희근,Eagles,24,42,38,47,6,4,1,0,1,5,4,4,0,12,2,0,3,1,0,0,0.15789474
정현석,Eagles,25,24,55,60,11,9,2,0,0,7,2,2,0,8,1,0,2,0,1,0,0.2
오선진,Eagles,19,79,175,191,46,34,9,1,2,20,14,8,0,43,1,0,7,7,3,2,0.26285714
한윤섭,Eagles,23,22,9,10,0,0,0,0,0,2,1,1,0,3,0,0,0,0,2,1,0
모창민,Wyverns,24,92,114,130,27,16,5,2,4,31,17,9,0,29,1,0,6,4,5,7,0.23684211
윤요섭,Wyverns,27,28,33,39,13,10,2,0,1,3,6,3,0,8,0,1,2,1,3,0,0.39393939
오지환,Twins,19,5,9,10,1,1,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0.11111111
정주현,Twins,18,6,11,11,1,0,0,0,1,2,1,0,0,7,0,0,0,0,0,0,0.09090909
정수빈,Bears,18,85,231,259,61,44,8,6,3,47,17,24,0,45,3,1,0,1,13,7,0.26406926
장영석,Heroes,19,16,33,38,6,4,0,0,2,2,4,3,0,14,2,0,0,1,0,0,0.18181818
이지영,Lions,23,23,28,28,6,6,0,0,0,2,4,0,0,9,0,0,0,0,0,0,0.21428571
안치홍,Tigers,18,123,371,415,87,56,13,4,14,53,38,32,1,103,2,3,7,10,8,5,0.23450135
김회성,Eagles,23,20,28,32,4,2,2,0,0,3,1,1,0,12,3,0,0,2,0,0,0.14285714
강병수,Eagles,25,16,11,13,0,0,0,0,0,3,0,2,0,7,0,0,0,0,0,0,0
김정남,Wyverns,22,15,21,26,6,4,1,0,1,4,2,3,0,4,1,0,1,1,0,0,0.28571429
김동수,Heroes,40,29,57,70,21,13,6,0,2,14,13,9,0,6,1,1,2,0,0,0,0.36842105
이종열,Twins,36,12,15,16,3,3,0,0,0,2,0,1,1,3,0,0,0,1,0,0,0.2
전준호,Heroes,40,21,33,37,8,7,1,0,0,2,4,4,0,5,0,0,0,0,2,4,0.24242424
안경현,Wyverns,39,42,58,67,12,9,2,0,1,6,5,1,0,9,1,0,7,2,0,0,0.20689655
이재주,Tigers,35,51,108,133,21,15,1,1,4,11,21,20,1,32,4,1,0,1,0,0,0.19444444
박종호,Twins,35,62,161,190,43,36,5,1,1,16,11,22,0,19,1,1,5,1,0,0,0.26708075
김정민,Twins,39,26,50,74,16,14,2,0,0,8,4,12,0,7,1,1,10,1,0,1,0.32
이도형,Eagles,34,98,280,320,89,61,15,1,12,33,56,37,0,40,2,1,0,11,0,0,0.31785714
양준혁,Lions,40,82,249,322,82,55,16,0,11,51,48,63,4,24,4,5,1,7,3,4,0.32931727
김재현,Wyverns,33,112,289,359,87,59,18,0,10,45,51,63,3,45,5,1,0,5,8,1,0.30103806
최동수,Twins,37,108,338,386,100,70,16,1,13,43,65,34,3,58,4,7,3,20,1,0,0.29585799
이숭용,Heroes,38,114,362,422,107,80,20,3,4,47,52,48,1,44,2,6,4,7,8,3,0.29558011
이호준,Wyverns,33,103,299,340,89,58,14,1,16,40,55,35,1,60,1,4,1,9,0,0,0.29765886
권용관,Twins,32,128,381,431,94,69,15,3,7,45,34,28,0,67,7,2,13,11,5,3,0.24671916
정수근,Giants,32,15,59,68,14,13,0,0,1,9,7,5,0,7,0,1,3,2,3,0,0.23728814
최기문,Giants,36,54,115,136,25,17,6,0,2,17,10,18,1,12,0,0,3,2,1,0,0.2173913
박재홍,Wyverns,35,113,315,376,85,61,12,0,12,53,46,45,2,57,8,4,4,7,15,4,0.26984127
정경배,Wyverns,35,31,37,46,7,5,2,0,0,3,3,7,1,10,0,0,2,3,0,0,0.18918919
장성호,Tigers,31,88,271,312,77,56,11,3,7,39,39,40,0,42,1,0,0,8,7,5,0.28413284
이영우,Eagles,35,93,260,293,72,50,12,3,7,32,35,28,0,42,0,2,3,12,2,1,0.27692308
손지환,Wyverns,30,6,16,17,3,2,1,0,0,1,0,1,0,4,0,0,0,1,1,0,0.1875
진갑용,Lions,35,57,142,165,33,26,3,1,3,10,20,15,0,23,4,1,3,5,1,2,0.23239437
김일경,Heroes,30,107,265,309,68,51,14,1,2,44,20,27,0,60,3,1,13,5,30,12,0.25660377
정수성,Heroes,31,87,139,153,32,24,5,0,3,29,9,3,0,32,4,2,5,1,21,6,0.23021583
김창희,Lions,35,71,126,144,30,25,5,0,0,7,14,13,0,18,3,1,1,4,1,2,0.23809524
강동우,Eagles,35,128,506,585,153,111,30,2,10,88,48,69,0,58,1,5,4,6,27,3,0.30237154
손인호,Twins,34,61,84,93,19,15,3,1,0,3,8,8,0,15,0,0,1,1,1,3,0.22619048
김진수,Bears,30,30,31,36,8,7,1,0,0,3,1,4,0,14,0,0,1,1,0,0,0.25806452
신경현,Eagles,33,78,176,207,45,39,4,0,2,19,15,25,0,33,3,1,2,7,0,3,0.25568182
윤재국,Wyverns,34,26,55,64,15,10,5,0,0,6,7,6,0,14,0,0,3,2,0,0,0.27272727
임재철,Bears,33,121,359,426,101,81,13,1,6,61,50,52,0,63,12,1,2,14,11,5,0.28133705
조성환,Giants,32,76,269,294,79,52,19,0,8,35,36,19,0,33,2,3,1,7,13,2,0.2936803
정성훈,Twins,29,121,419,494,126,95,19,2,10,62,70,59,2,46,4,4,8,10,5,0,0.30071599
최경환,Tigers,37,47,74,85,18,14,3,0,1,14,6,10,0,18,0,1,0,2,4,0,0.24324324
박기혁,Giants,28,109,299,346,65,54,10,1,0,32,21,28,0,61,1,4,14,13,7,6,0.2173913
이범호,Eagles,27,126,436,499,124,78,21,0,25,64,79,53,5,70,7,3,0,10,3,1,0.28440367
최준석,Bears,26,116,361,417,109,81,11,0,17,49,94,49,1,77,3,4,0,13,1,0,0.30193906
이우민,Giants,27,102,162,194,42,35,7,0,0,25,15,14,0,37,8,1,9,3,12,3,0.25925926
김태균,Eagles,27,95,336,389,111,77,15,0,19,63,62,45,4,71,6,2,0,12,0,0,0.33035714
박용택,Twins,30,111,452,506,168,114,31,5,18,91,74,36,2,63,6,9,3,15,22,3,0.37168142
고영민,Bears,25,85,281,331,66,46,11,3,6,59,29,33,0,76,13,3,1,3,12,4,0.23487544
문규현,Giants,25,11,18,18,3,2,0,0,1,2,3,0,0,6,0,0,0,1,0,0,0.16666667
손시헌,Bears,28,121,412,476,119,83,22,3,11,56,59,42,1,67,12,3,7,5,6,3,0.28883495
이종욱,Bears,29,82,312,344,86,70,11,4,1,48,28,28,0,38,0,1,3,5,37,6,0.27564103
이택근,Heroes,28,123,456,538,142,101,26,0,15,84,66,64,5,59,13,4,1,13,43,8,0.31140351
곽용섭,Twins,26,6,15,16,3,2,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0.2
차일목,Tigers,28,57,102,119,23,16,4,0,3,14,18,12,0,22,3,1,1,0,2,2,0.2254902
이용규,Tigers,23,50,169,201,45,34,8,3,0,32,14,22,1,21,4,0,6,1,10,4,0.26627219
김재호,Bears,24,80,180,205,43,27,9,4,3,27,36,20,0,27,1,4,0,5,4,1,0.23888889
박석민,Lions,24,97,295,375,84,43,17,0,24,63,62,54,4,66,17,7,2,5,0,0,0.28474576
강민호,Giants,23,83,262,301,68,46,13,0,9,36,30,33,1,44,3,3,0,9,0,0,0.25954198
최정,Wyverns,22,99,339,410,90,56,15,0,19,63,58,40,0,64,22,3,6,6,11,0,0.26548673
민병헌,Bears,22,115,261,291,67,48,14,0,5,49,28,17,0,54,6,4,3,7,18,5,0.25670498
오재원,Bears,24,106,209,239,48,45,3,0,0,36,12,20,1,44,6,2,2,5,12,3,0.22966507
손아섭,Giants,21,34,86,96,16,9,4,0,3,11,4,9,0,16,0,0,1,3,1,1,0.18604651
김태군,Twins,19,54,108,118,27,24,2,1,0,7,5,2,0,18,1,0,7,4,0,0,0.25
우동균,Lions,19,76,157,189,38,30,4,1,3,22,21,28,0,41,0,2,2,2,5,2,0.24203822
전준우,Giants,23,26,59,66,13,8,3,0,2,12,9,5,0,16,1,1,0,1,1,0,0.22033898
김상수,Lions,19,97,242,267,59,40,19,0,0,43,17,21,0,51,2,1,1,7,18,6,0.24380165
김민재,Eagles,36,105,272,308,56,40,11,1,4,33,29,22,0,28,6,2,6,11,1,1,0.20588235
박경완,Wyverns,36,65,198,246,53,31,10,0,12,32,38,33,2,39,2,2,11,5,3,1,0.26767677
이종범,Tigers,38,123,385,449,105,77,21,1,6,63,40,41,1,50,5,6,12,9,11,1,0.27272727
김재걸,Lions,36,64,52,65,11,8,2,0,1,7,4,11,0,16,0,0,2,0,4,2,0.21153846
박진만,Lions,32,76,223,258,57,40,11,0,6,22,29,25,0,31,3,4,3,8,2,1,0.25560538
김종국,Tigers,35,51,108,123,27,22,4,0,1,12,9,10,0,12,0,2,3,1,2,0,0.25
송지만,Heroes,36,115,374,439,108,68,15,3,22,69,67,52,2,122,8,4,1,10,10,3,0.28877005
조인성,Twins,34,95,266,300,57,32,10,1,14,35,36,28,1,53,1,2,3,10,0,2,0.21428571
김동주,Bears,33,105,354,426,125,78,28,0,19,63,86,61,10,55,8,3,0,17,3,1,0.35310734
홍성흔,Giants,32,119,426,487,158,113,33,0,12,71,64,49,1,55,5,7,0,15,9,3,0.37089202
이진영,Twins,29,120,380,425,114,81,18,1,14,50,69,40,7,30,1,2,2,19,5,2,0.3
브룸바,Heroes,35,123,436,526,107,58,21,1,27,69,86,86,9,111,2,2,0,17,2,2,0.24541284
