Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
클리어,Twins,31,110,402,453,122,80,23,4,15,64,61,36,3,85,10,5,0,8,19,5,0.30348259
펠로우,Giants,31,109,398,443,113,74,15,1,23,56,69,30,2,84,11,4,0,6,3,4,0.2839196
박병호,Twins,18,79,163,185,31,17,11,0,3,22,21,12,0,48,6,4,0,3,1,0,0.19018405
이대호,Giants,23,126,447,512,119,80,16,2,21,53,80,47,4,76,15,3,0,12,1,0,0.26621924
마테오,Twins,27,34,130,149,29,21,3,0,5,18,20,12,0,36,4,3,0,1,2,1,0.22307692
라이온,Giants,33,125,492,534,132,78,40,3,11,65,73,37,3,70,2,1,2,11,7,3,0.26829268
스미스,Eagles,35,30,100,109,22,13,3,0,6,11,19,7,0,25,1,1,0,3,0,0,0.22
서튼,Unicorns,35,119,424,521,124,69,18,2,35,76,102,86,8,101,4,7,0,3,0,2,0.29245283
최승환,Twins,27,16,26,27,7,4,2,0,1,3,4,1,0,7,0,0,0,0,0,0,0.26923077
강봉규,Bears,27,48,102,124,24,19,3,1,1,12,10,18,1,30,2,0,2,2,2,1,0.23529412
정원석,Bears,28,15,13,15,2,2,0,0,0,2,1,2,0,3,0,0,0,1,1,1,0.15384615
장교성,Unicorns,27,37,40,45,4,3,1,0,0,3,1,3,0,15,2,0,0,1,0,2,0.1
오윤,Unicorns,23,9,10,10,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0.1
전근표,Unicorns,28,37,96,111,20,11,7,0,2,12,4,14,0,27,1,0,0,3,0,1,0.20833333
박정환,Lions,27,26,38,44,7,5,1,0,1,5,7,4,0,15,0,1,1,2,1,0,0.18421053
김상훈,Tigers,27,105,298,338,70,54,8,0,8,29,40,24,1,50,4,4,8,5,0,2,0.23489933
홍세완,Tigers,27,90,345,386,98,73,15,1,9,45,46,36,3,41,2,2,1,15,7,7,0.28405797
채종범,Wyverns,27,8,9,11,5,4,1,0,0,4,1,2,0,1,0,0,0,0,0,0,0.55555556
김원섭,Tigers,26,28,25,26,1,1,0,0,0,5,0,1,0,6,0,0,0,2,0,0,0.04
박한이,Lions,26,123,471,551,139,109,21,0,9,62,59,55,2,51,9,4,12,15,12,10,0.29511677
신명철,Giants,26,116,344,398,88,64,16,3,5,47,33,25,0,79,3,1,25,5,21,8,0.25581395
김민철,Tigers,23,101,179,203,39,29,7,3,0,21,13,10,0,41,3,0,11,1,11,4,0.21787709
김경언,Tigers,22,78,188,202,51,35,10,1,5,23,19,8,0,38,2,0,4,1,2,2,0.2712766
권민성,Giants,24,10,13,14,3,1,2,0,0,0,3,0,0,5,1,0,0,0,0,0,0.23076923
박준서,Giants,23,68,82,94,16,13,2,1,0,9,5,4,0,25,0,0,8,0,4,2,0.19512195
조중근,Wyverns,22,108,171,196,41,27,7,1,6,20,30,11,1,36,9,1,4,0,2,2,0.23976608
김강민,Wyverns,22,23,40,48,9,8,1,0,0,6,3,4,0,9,0,0,4,0,2,3,0.225
조동화,Wyverns,24,110,281,345,74,67,2,4,1,41,19,19,0,55,3,1,41,2,19,5,0.2633452
박재상,Wyverns,22,31,46,49,6,5,1,0,0,3,1,3,0,17,0,0,0,0,3,1,0.13043478
김우석,Twins,29,30,18,19,2,1,1,0,0,2,0,0,0,5,1,0,0,0,0,0,0.11111111
강귀태,Unicorns,25,104,265,297,70,50,12,0,8,30,38,26,1,38,4,1,1,9,2,0,0.26415094
조재호,Unicorns,25,16,27,31,6,4,2,0,0,2,4,3,0,7,1,0,0,2,0,1,0.22222222
강병식,Unicorns,28,94,182,215,45,29,10,0,6,25,20,27,0,44,4,0,2,6,2,0,0.24725275
조동찬,Lions,21,122,387,447,106,74,16,0,16,55,63,39,0,84,15,3,3,9,17,6,0.27390181
이대수,Wyverns,23,99,59,70,12,8,3,1,0,11,4,4,0,19,3,0,4,2,1,1,0.20338983
박경수,Twins,21,35,105,133,18,14,2,0,2,13,7,18,0,32,3,1,6,1,1,0,0.17142857
이성열,Twins,20,102,187,230,44,25,7,3,9,34,30,21,3,78,21,1,0,0,3,1,0.23529412
이대형,Twins,21,107,127,142,34,29,4,1,0,40,5,11,0,35,1,0,3,2,37,9,0.26771654
나주환,Bears,21,99,174,200,47,37,9,0,1,21,19,10,0,36,4,2,10,5,8,3,0.27011494
지석훈,Unicorns,21,61,106,112,19,14,3,0,2,10,8,3,0,35,1,0,2,3,0,0,0.17924528
강명구,Lions,24,106,44,50,11,10,1,0,0,30,2,4,0,9,2,0,0,1,21,2,0.25
김영복,Lions,20,23,37,41,7,5,1,0,1,3,4,2,0,7,0,1,1,0,0,0,0.18918919
박정준,Giants,21,91,117,130,24,19,4,1,0,18,7,7,0,23,2,2,2,2,6,4,0.20512821
조인신,Giants,24,27,27,29,6,4,2,0,0,4,2,1,0,6,0,1,0,0,1,0,0.22222222
한상훈,Eagles,25,94,168,189,36,30,4,1,1,19,7,17,0,42,0,0,4,4,1,0,0.21428571
이양기,Eagles,24,10,11,12,5,4,0,0,1,5,1,1,0,1,0,0,0,1,0,0,0.45454545
고지행,Eagles,27,25,65,69,15,13,0,0,2,5,8,1,0,18,1,0,2,1,0,0,0.23076923
최경철,Wyverns,24,43,56,66,12,10,2,0,0,6,2,6,0,19,1,0,3,2,0,0,0.21428571
박기남,Twins,23,56,136,162,37,31,2,0,4,20,16,19,0,36,2,0,5,2,0,1,0.27205882
김태완,Twins,23,29,40,50,4,4,0,0,0,5,1,7,0,11,2,0,1,0,0,1,0.1
용덕한,Bears,24,59,130,141,31,26,5,0,0,13,10,10,0,23,0,0,1,3,1,3,0.23846154
유한준,Unicorns,23,18,26,28,5,3,1,0,1,3,5,2,0,7,0,0,0,0,1,0,0.19230769
이정식,Lions,23,59,67,78,15,11,3,0,1,7,4,6,0,13,1,0,4,4,0,0,0.2238806
박진환,Giants,24,31,61,64,13,7,5,0,1,7,2,3,0,24,0,0,0,2,3,2,0.21311475
김주형,Tigers,19,39,99,114,17,14,3,0,0,6,6,9,1,25,4,0,2,3,0,0,0.17171717
