Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
알드리지,Heroes,32,117,414,480,98,57,20,1,20,55,73,59,2,139,2,5,0,5,6,2,0.23671498
가르시아,Eagles,35,72,268,292,66,36,12,0,18,37,61,24,1,55,0,0,0,5,1,5,0.24626866
강정호,Heroes,24,123,444,504,125,92,22,2,9,53,63,43,4,62,9,5,3,12,4,6,0.28153153
박병호,Heroes,24,66,201,230,51,25,11,2,13,31,31,26,0,76,2,1,0,5,2,0,0.25373134
김현수,Bears,23,130,475,561,143,103,25,2,13,71,91,71,9,63,6,9,0,15,5,3,0.30105263
이대호,Giants,29,133,493,570,176,122,26,1,27,76,113,63,8,60,8,6,0,22,2,0,0.35699797
황재균,Giants,23,117,398,458,115,81,18,4,12,62,68,40,1,78,9,8,3,9,12,6,0.28894472
최희섭,Tigers,32,70,242,282,68,44,14,1,9,36,37,39,2,61,0,1,0,7,1,1,0.28099174
가코,Lions,30,58,189,220,46,37,8,0,1,21,28,22,0,34,5,4,0,12,0,1,0.24338624
백진우,Twins,23,20,36,40,7,5,1,1,0,4,3,4,0,9,0,0,0,0,1,0,0.19444444
이해창,Heroes,24,14,10,11,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0.1
정훈,Giants,23,26,33,41,10,7,0,0,3,6,8,3,0,9,2,1,2,1,0,1,0.3030303
홍재호,Tigers,24,31,47,53,10,8,1,0,1,6,3,4,0,13,1,0,1,0,1,0,0.21276596
임한용,Tigers,23,10,20,21,3,3,0,0,0,3,0,1,0,6,0,0,0,0,1,0,0.15
최윤석,Wyverns,24,82,156,209,38,32,4,1,1,21,9,32,0,38,7,0,14,2,4,4,0.24358974
안정광,Wyverns,21,15,18,20,4,4,0,0,0,1,3,2,0,5,0,0,0,0,0,0,0.22222222
정병곤,Twins,23,11,20,20,4,3,0,1,0,1,2,0,0,7,0,0,0,0,0,0,0.2
김재율,Twins,22,25,24,28,6,4,2,0,0,2,4,4,0,7,0,0,0,2,0,0,0.25
정진호,Bears,22,47,35,37,4,3,1,0,0,7,3,2,0,6,0,0,0,1,4,0,0.11428571
고종욱,Heroes,22,54,105,111,26,16,5,4,1,12,9,5,0,26,0,1,0,0,7,6,0.24761905
김도현,Heroes,18,3,8,10,4,4,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0.5
윤정우,Tigers,23,29,16,18,1,0,1,0,0,4,0,1,0,9,0,0,1,0,3,0,0.0625
나성용,Eagles,23,27,38,42,9,4,3,0,2,4,7,4,0,15,0,0,0,1,0,0,0.23684211
최승환,Bears,33,17,33,37,4,3,0,0,1,1,5,2,0,6,1,0,1,2,0,0,0.12121212
강봉규,Lions,33,52,146,168,39,30,7,1,1,14,18,17,0,24,2,2,0,3,3,1,0.26712329
정원석,Eagles,34,82,248,291,62,47,11,0,4,23,26,32,1,58,6,0,5,7,3,3,0.25
오윤,Heroes,29,57,130,149,32,22,7,1,2,12,18,15,0,34,2,0,2,5,1,1,0.24615385
박정환,Wyverns,33,9,9,11,2,1,1,0,0,1,2,2,0,5,0,0,0,0,0,0,0.22222222
김주찬,Giants,30,86,321,371,100,79,12,3,6,58,40,27,0,38,7,4,12,4,25,10,0.31152648
김상훈,Tigers,33,67,123,150,24,18,3,0,3,19,16,24,0,26,1,1,1,2,0,0,0.19512195
