Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
마틴,Twins,36,107,358,420,104,75,16,4,9,45,52,51,3,57,6,5,0,7,7,0,0.29050279
이시온,Giants,28,4,12,14,1,1,0,0,0,1,1,2,0,7,0,0,0,0,0,0,0.08333333
로페즈,Lions,30,22,68,76,11,8,0,0,3,6,8,6,1,20,1,1,0,2,0,0,0.16176471
이대호,Giants,22,132,444,514,110,64,26,0,20,52,68,38,0,78,20,6,6,21,4,3,0.24774775
라이온,Giants,32,102,404,438,121,81,28,0,12,52,55,25,2,66,5,3,1,5,3,1,0.29950495
오리어리,Lions,34,63,211,240,56,30,14,2,10,30,28,23,1,37,4,2,0,7,0,0,0.26540284
강봉규,Bears,26,40,72,85,17,13,2,1,1,14,5,10,0,20,1,0,2,0,2,1,0.23611111
정원석,Bears,27,54,41,48,6,5,1,0,0,13,5,2,0,16,4,1,0,0,4,4,0.14634146
전근표,Unicorns,27,79,108,128,32,19,6,0,7,17,15,20,2,34,0,0,0,2,0,2,0.2962963
박정환,Lions,26,29,33,40,4,4,0,0,0,3,3,6,0,9,0,0,1,0,0,1,0.12121212
김주찬,Giants,23,120,450,503,109,77,20,5,7,53,42,32,0,92,13,2,6,7,44,10,0.24222222
양현석,Twins,26,52,58,64,10,4,4,0,2,4,12,4,0,14,1,1,0,1,0,0,0.17241379
김상훈,Tigers,26,128,389,439,102,73,21,0,8,39,45,33,0,66,1,3,13,11,2,1,0.2622108
홍세완,Tigers,26,96,342,407,101,65,20,1,15,57,51,50,1,43,6,6,3,14,8,4,0.29532164
김상현,Twins,23,100,277,316,67,46,10,2,9,37,35,28,2,77,7,1,3,11,7,5,0.24187726
최길성,Twins,26,16,31,35,5,4,0,0,1,3,4,4,0,11,0,0,0,1,0,0,0.16129032
조윤채,Eagles,26,14,16,16,1,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0.0625
채종범,Wyverns,26,104,321,376,94,64,21,2,7,48,43,33,0,44,11,4,7,9,2,5,0.29283489
김원섭,Tigers,25,41,34,41,9,9,0,0,0,3,1,3,0,8,0,0,4,0,0,3,0.26470588
박한이,Lions,25,132,503,587,156,112,26,2,16,81,63,69,3,57,5,3,7,8,13,9,0.31013917
신명철,Giants,25,54,140,157,37,29,6,2,0,18,9,11,0,31,1,0,5,3,6,2,0.26428571
김민철,Tigers,22,11,10,10,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0.2
김경언,Tigers,21,114,189,220,46,35,6,2,3,20,25,21,2,39,1,4,5,6,6,2,0.24338624
박준서,Giants,22,86,157,182,38,22,10,3,3,26,18,11,0,37,6,1,7,2,5,1,0.24203822
조중근,Wyverns,21,41,66,71,18,14,2,0,2,5,7,2,0,19,2,1,0,2,1,0,0.27272727
