Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
가르시아,Giants,32,125,460,513,130,73,25,2,30,68,111,48,6,100,3,2,0,10,2,1,0.2826087
강정호,Heroes,21,116,362,408,98,71,18,1,8,36,47,31,1,65,5,3,7,12,3,1,0.27071823
발데스,Tigers,30,47,156,176,34,23,9,1,1,17,16,9,0,19,1,1,9,2,13,4,0.21794872
김현수,Bears,20,126,470,558,168,120,34,5,9,83,89,80,1,40,5,2,0,12,13,8,0.35744681
이대호,Giants,26,122,435,527,131,90,23,0,18,73,94,62,4,56,18,12,0,9,0,1,0.30114943
황재균,Heroes,20,117,306,333,73,61,10,1,1,27,18,16,0,56,2,2,7,8,10,7,0.23856209
클락,Eagles,32,125,472,546,116,66,25,3,22,96,79,63,4,78,5,5,1,8,25,5,0.24576271
최희섭,Tigers,29,55,188,207,43,34,2,1,6,17,22,15,2,41,3,1,0,4,4,3,0.2287234
크루즈,Lions,35,43,156,181,44,34,8,0,2,21,21,20,1,25,3,2,0,9,1,0,0.28205128
페타지니,Twins,37,68,216,259,75,50,17,1,7,29,35,40,1,26,2,1,0,5,1,0,0.34722222
최승환,Bears,30,63,100,109,21,13,7,0,1,7,13,8,0,18,0,1,0,4,0,0,0.21
강봉규,Lions,30,81,134,160,37,26,8,0,3,27,14,19,0,28,3,1,3,3,3,4,0.2761194
정원석,Bears,31,90,107,114,24,20,1,1,2,23,15,2,0,27,4,1,0,1,7,3,0.22429907
오윤,Heroes,26,31,30,34,6,4,1,1,0,5,3,4,0,5,0,0,0,2,2,0,0.2
전근표,Heroes,31,32,49,59,11,10,0,0,1,6,4,10,1,11,0,0,0,1,0,0,0.2244898
박정환,Wyverns,30,25,50,60,12,7,4,0,1,3,6,9,0,10,0,0,1,0,1,1,0.24
김주찬,Giants,27,104,412,458,129,105,16,7,1,75,42,24,0,61,8,5,9,6,32,18,0.3131068
김상훈,Tigers,30,35,86,94,23,18,3,0,2,8,9,5,0,13,1,1,1,1,1,1,0.26744186
김상현,Twins,27,75,214,243,52,33,9,2,8,28,18,19,0,55,3,2,5,8,2,3,0.24299065
채종범,Tigers,30,70,147,166,29,21,3,1,4,13,16,11,0,33,4,1,3,4,2,1,0.19727891
이성우,Tigers,26,39,31,37,3,2,0,0,1,2,3,2,0,8,0,1,3,2,0,0,0.09677419
김원섭,Tigers,29,106,344,404,105,87,14,4,0,55,30,51,1,50,3,2,4,3,21,8,0.30523256
박한이,Lions,29,104,370,442,117,94,17,2,4,57,41,63,1,37,1,3,5,6,5,6,0.31621622
신명철,Lions,29,97,244,278,45,36,8,0,1,29,17,19,0,32,2,6,7,7,9,1,0.18442623
박종윤,Giants,26,15,34,35,7,4,1,0,2,5,4,0,0,11,1,0,0,0,0,0,0.20588235
김경언,Tigers,25,8,20,20,4,4,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0.2
김동건,Wyverns,26,14,26,27,7,6,0,0,1,2,3,0,0,7,0,0,1,0,0,0,0.26923077
박준서,Giants,26,26,16,20,2,2,0,0,0,2,1,2,0,2,1,1,0,0,0,0,0.125
조중근,Heroes,25,31,68,69,19,12,6,0,1,7,9,1,0,15,0,0,0,2,1,0,0.27941176
김강민,Wyverns,25,106,258,295,70,48,16,3,3,38,32,26,0,46,6,0,5,2,16,8,0.27131783
정상호,Wyverns,25,81,171,190,40,26,8,0,6,21,23,12,0,49,2,2,3,5,0,1,0.23391813
조동화,Wyverns,27,103,283,337,79,70,4,4,1,43,26,33,2,56,3,3,15,6,19,3,0.27915194
박재상,Wyverns,25,94,314,363,86,66,18,1,1,46,34,36,0,50,5,1,7,3,21,9,0.27388535
김우석,Lions,32,8,10,13,3,1,2,0,0,2,1,2,0,2,0,0,1,0,1,0,0.3
김용우,Twins,28,25,26,31,4,2,1,0,1,2,4,3,0,7,1,1,0,0,0,0,0.15384615
추승우,Eagles,28,119,371,419,91,75,13,3,0,53,20,30,4,75,10,1,7,3,19,5,0.24528302
안치용,Twins,29,101,370,421,109,72,27,3,7,46,52,39,1,79,0,9,3,6,7,2,0.29459459
오태근,Twins,30,7,9,11,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,1,0
유재웅,Bears,29,104,261,293,72,58,10,0,4,24,32,26,3,49,1,4,1,7,1,4,0.27586207
