Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
강진성,Dinos,26,121,395,432,122,85,25,0,12,53,70,20,0,46,9,6,2,11,10,1,0.30886076
노진혁,Dinos,30,132,427,484,117,72,22,3,20,70,82,49,3,106,5,0,3,8,0,4,0.27400468
김성욱,Dinos,27,104,195,225,43,30,4,1,8,32,26,17,0,40,4,2,7,0,12,5,0.22051282
나성범,Dinos,30,130,525,584,170,97,37,2,34,115,112,49,2,148,9,1,0,6,3,0,0.32380952
장승현,Bears,26,23,20,22,5,2,3,0,0,5,3,1,0,6,1,0,0,1,0,0,0.25
김인태,Bears,25,77,84,110,17,11,5,0,1,15,13,21,0,13,2,1,2,3,0,0,0.20238095
이우성,Tigers,25,48,59,67,12,11,1,0,0,5,3,6,0,11,2,0,0,2,1,0,0.20338983
이흥련,Lions,31,49,125,132,30,26,1,0,3,6,20,6,0,29,0,1,0,5,0,0,0.24
김영환,Tigers,27,14,16,18,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,1,0
정현,Wyverns,26,89,112,128,17,11,4,0,2,14,4,11,0,34,2,0,3,3,0,1,0.15178571
백동훈,Bears,29,27,16,19,3,2,1,0,0,5,0,1,0,4,2,0,0,0,0,0,0.1875
이홍구,Wiz,29,49,84,96,16,11,2,0,3,5,8,6,0,26,3,1,2,3,0,0,0.19047619
고장혁,Tigers,30,7,13,13,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.23076923
장운호,Eagles,26,24,27,29,4,2,1,0,1,5,4,2,0,9,0,0,0,0,0,0,0.14814815
박한결,Eagles,25,13,20,24,3,3,0,0,0,5,1,2,0,8,0,0,2,2,0,0,0.15
노수광,Eagles,29,100,291,330,73,59,10,3,1,39,21,34,2,64,2,1,2,2,10,7,0.25085911
한승택,Tigers,26,83,226,262,51,36,6,0,9,22,29,21,0,58,6,0,9,7,0,0,0.22566372
김준완,Dinos,29,45,65,75,14,12,1,0,1,8,5,10,0,9,0,0,0,3,0,0,0.21538462
권희동,Dinos,29,123,346,426,90,63,15,0,12,67,50,58,0,72,11,5,6,6,3,0,0.26011561
김민혁,Wiz,24,108,222,249,53,41,5,2,5,35,25,22,0,42,2,1,2,4,8,4,0.23873874
심우준,Wiz,25,144,476,535,112,90,16,3,3,58,51,37,0,98,2,4,16,6,35,11,0.23529412
문상철,Wiz,29,74,154,172,40,27,3,2,8,24,25,11,0,43,2,2,3,4,0,1,0.25974026
송민섭,Wiz,28,113,42,51,8,5,1,1,1,21,5,5,0,13,1,1,2,0,4,3,0.19047619
김병희,Wiz,29,29,21,22,3,2,0,0,1,4,2,0,0,7,0,1,0,0,0,0,0.14285714
박재욱,Twins,24,15,15,17,4,4,0,0,0,0,1,0,0,4,1,0,1,2,0,0,0.26666667
장준원,Twins,24,46,60,68,13,9,3,0,1,10,6,6,0,7,0,1,1,2,0,0,0.21666667
양석환,Twins,28,40,118,132,29,21,5,0,3,8,13,10,0,25,2,0,2,1,0,0,0.24576271
배정대,Wiz,24,144,533,615,154,113,25,3,13,88,65,68,0,142,5,4,5,9,22,13,0.28893058
최용제,Bears,28,28,44,49,13,12,0,1,0,9,9,4,0,8,0,0,1,2,0,0,0.29545455
김경호,Wyverns,24,56,105,110,30,26,3,1,0,17,9,3,0,16,0,1,1,2,1,4,0.28571429
이성곤,Lions,28,62,139,154,39,27,7,0,5,16,18,11,0,38,0,2,2,3,2,0,0.28057554
임병욱,Heroes,24,12,37,41,10,6,4,0,0,3,6,4,1,10,0,0,0,1,3,0,0.27027027
김호재,Lions,25,65,118,138,38,32,5,0,1,19,10,16,0,19,3,0,1,1,2,0,0.3220339
백승민,Lions,29,7,9,12,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0
박계범,Lions,24,80,164,175,32,22,7,0,3,21,16,7,0,42,0,1,3,3,3,2,0.19512195
송준석,Lions,26,32,47,50,13,7,5,0,1,5,7,2,0,6,1,0,0,4,0,0,0.27659574
김재현,Lions,28,35,14,18,2,2,0,0,0,4,4,3,0,3,0,0,1,1,0,0,0.14285714
오윤석,Giants,28,63,168,197,50,38,7,1,4,31,32,24,0,47,2,2,1,2,2,1,0.29761905
