Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
대니돈,Heroes,31,129,417,497,123,73,33,1,16,65,70,70,4,72,5,4,1,8,1,0,0.29496403
황재균,Giants,28,127,498,559,167,109,26,5,27,97,113,49,5,66,4,8,0,10,25,10,0.33534137
고메즈,Wyverns,28,117,456,492,129,77,31,0,21,74,62,25,2,87,5,4,2,11,16,8,0.28289474
김하성,Heroes,20,144,526,599,148,92,29,7,20,92,84,60,2,80,6,5,2,7,28,15,0.28136882
마르테,Wiz,32,91,325,381,86,48,16,0,22,52,74,50,0,51,1,5,0,12,0,0,0.26461538
테임즈,Dinos,29,123,436,529,140,67,30,3,40,118,121,74,6,103,12,7,0,2,13,4,0.32110092
필,Tigers,31,132,499,544,156,98,37,1,20,71,86,33,0,70,5,7,0,16,10,3,0.31262525
히메네스,Twins,28,135,523,579,161,99,36,0,26,101,102,39,2,67,10,6,1,8,18,9,0.30783939
아두치,Giants,31,64,247,272,72,44,18,3,7,46,41,18,1,59,1,5,1,5,15,2,0.29149798
맥스웰,Giants,32,23,80,99,23,15,3,1,4,14,16,15,0,25,3,1,0,0,2,2,0.2875
에반스,Bears,30,118,400,481,123,68,31,0,24,69,81,69,0,90,5,7,0,10,0,0,0.3075
로사리오,Eagles,27,127,492,532,158,92,31,2,33,78,120,33,3,90,4,2,1,16,1,3,0.32113821
백진우,Twins,28,10,18,21,6,3,2,0,1,4,3,2,0,6,1,0,0,1,0,1,0.33333333
이해창,Wiz,29,88,231,254,47,31,10,0,6,16,22,9,0,65,3,3,8,7,1,1,0.2034632
송주호,Eagles,27,33,47,52,5,5,0,0,0,3,1,3,0,12,0,0,2,1,0,2,0.10638298
백상원,Lions,28,132,445,517,128,103,19,3,3,60,49,51,0,69,4,7,10,15,8,3,0.28764045
김동은,Wiz,25,32,50,63,11,11,0,0,0,7,2,10,0,14,1,0,2,3,3,1,0.22
정훈,Giants,28,121,370,439,97,75,18,2,2,48,46,43,0,75,16,2,8,12,7,7,0.26216216
오태곤,Giants,24,42,123,135,32,23,6,0,3,17,7,12,0,37,0,0,0,5,6,2,0.2601626
이상호,Dinos,27,15,25,27,7,5,2,0,0,1,1,0,0,4,2,0,0,3,3,0,0.28
홍재호,Tigers,29,22,13,16,1,1,0,0,0,4,1,2,0,3,0,1,0,0,0,0,0.07692308
이종환,Eagles,30,31,29,33,8,7,1,0,0,3,4,3,2,10,0,1,0,1,0,0,0.27586207
이상훈,Lions,29,8,12,14,1,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0.08333333
최윤석,Eagles,29,11,16,17,2,2,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0.125
