Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
클리어,Eagles,32,93,284,323,77,56,14,0,7,37,25,33,0,60,5,1,0,9,6,4,0.27112676
강정호,Unicorns,19,10,20,21,3,2,1,0,0,1,1,0,0,8,0,0,1,1,0,1,0.15
박병호,Twins,19,48,130,142,21,14,2,0,5,7,13,9,0,42,2,0,1,4,1,3,0.16153846
이대호,Giants,24,122,443,499,149,97,26,0,26,71,88,39,5,55,16,1,0,11,0,1,0.33634312
피커링,Wyverns,29,60,212,249,59,39,11,0,9,23,34,31,1,62,5,1,0,5,2,0,0.27830189
존갈,Giants,28,43,107,124,26,20,6,0,0,10,10,15,2,12,0,1,1,7,0,2,0.24299065
서브넥,Tigers,29,40,143,151,32,24,3,1,4,14,15,6,0,17,1,1,0,2,2,1,0.22377622
마이로우,Giants,29,70,208,269,48,26,9,1,12,42,30,52,0,74,6,2,1,2,0,2,0.23076923
스캇,Tigers,31,48,153,169,25,17,1,1,6,10,14,10,1,37,5,1,0,5,0,0,0.16339869
서튼,Unicorns,36,93,331,394,88,51,18,1,18,50,61,59,2,72,2,2,0,9,0,0,0.26586103
최승환,Twins,28,31,57,62,15,11,3,0,1,4,5,4,0,15,1,0,0,0,0,0,0.26315789
강봉규,Lions,28,87,128,145,30,19,6,1,4,16,16,13,0,33,1,2,1,2,4,3,0.234375
정원석,Bears,29,67,106,122,28,25,1,1,1,15,5,6,0,20,8,0,2,3,3,4,0.26415094
전근표,Unicorns,29,51,57,68,10,7,1,0,2,5,5,10,1,13,1,0,0,2,0,0,0.1754386
박정환,Lions,28,43,91,100,15,14,1,0,0,8,2,4,0,18,0,0,5,4,1,0,0.16483516
김상훈,Tigers,28,122,367,417,86,68,15,1,2,33,35,30,0,54,2,0,18,9,1,2,0.23433243
홍세완,Tigers,28,66,214,243,44,37,6,0,1,14,17,19,0,34,4,2,4,9,0,0,0.20560748
최길성,Twins,28,83,250,283,64,43,15,2,4,23,33,27,0,53,2,3,1,5,4,0,0.256
김원섭,Tigers,27,94,181,213,61,53,5,3,0,26,13,14,0,27,0,1,17,2,12,2,0.33701657
박한이,Lions,27,126,471,567,134,105,21,2,6,89,43,80,4,62,6,3,7,11,15,10,0.28450106
신명철,Giants,27,73,166,185,29,22,6,1,0,14,9,8,0,40,0,1,10,2,5,1,0.1746988
김민철,Tigers,24,75,76,85,21,18,1,2,0,15,10,7,0,14,0,1,1,2,2,1,0.27631579
김경언,Tigers,23,73,100,114,18,13,5,0,0,14,8,9,1,24,3,0,2,1,1,1,0.18
김동건,Wyverns,24,21,32,39,5,3,1,1,0,3,1,2,0,10,2,0,3,0,0,0,0.15625
박준서,Giants,24,67,58,63,14,13,1,0,0,5,3,1,0,18,0,0,4,0,1,1,0.24137931
조중근,Wyverns,23,54,80,87,15,12,2,0,1,7,5,2,0,30,2,1,2,3,3,0,0.1875
김강민,Wyverns,23,96,145,166,40,29,9,1,1,20,14,14,1,30,1,1,5,3,8,5,0.27586207
조동화,Wyverns,25,65,139,163,28,21,3,4,0,20,12,11,0,25,2,2,9,1,8,1,0.20143885
박재상,Wyverns,23,65,172,201,43,28,10,2,3,24,23,14,0,40,3,2,10,2,6,5,0.25
김우석,Twins,30,31,24,27,4,4,0,0,0,0,0,2,0,8,0,0,1,1,0,0,0.16666667
추승우,Twins,26,38,52,58,12,10,2,0,0,7,5,2,0,8,2,2,0,0,1,0,0.23076923
안치용,Twins,27,20,28,31,2,2,0,0,0,2,0,3,0,8,0,0,0,0,0,0,0.07142857
오태근,Twins,28,70,175,201,35,21,11,2,1,20,8,14,0,35,6,1,5,2,12,6,0.2
강귀태,Unicorns,26,73,144,159,43,34,5,0,4,18,18,9,0,20,0,1,5,7,0,2,0.29861111
강병식,Unicorns,29,93,133,156,29,17,7,1,4,16,25,19,0,28,4,0,0,7,1,1,0.21804511
조동찬,Lions,22,107,370,421,96,73,13,0,10,51,46,29,0,80,6,1,15,9,20,4,0.25945946
이현곤,Tigers,26,77,247,272,60,40,14,1,5,27,27,12,0,39,2,2,9,8,2,5,0.24291498
김재구,Wyverns,28,45,52,57,14,7,4,0,3,4,15,3,0,16,1,1,0,3,1,0,0.26923077
