Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
베로아,Giants,37,11,31,35,3,1,1,0,1,1,3,3,0,15,0,1,0,0,0,0,0.09677419
프랭클린,Unicorns,30,49,152,198,42,18,9,1,14,30,30,34,3,52,10,2,0,2,4,2,0.27631579
가르시아,Eagles,27,24,73,77,19,13,3,1,2,7,8,4,0,20,0,0,0,1,5,3,0.26027397
해처,Giants,33,25,68,73,11,9,1,0,1,6,5,2,0,22,2,1,0,2,0,0,0.16176471
에레라,Giants,29,53,210,222,64,49,8,1,6,23,20,8,2,28,1,1,2,1,2,5,0.3047619
뉴선,Tigers,37,35,115,133,24,12,5,0,7,15,17,17,1,38,0,1,0,3,3,1,0.20869565
펨버튼,Tigers,32,75,271,316,69,44,13,1,11,28,48,23,3,56,19,3,0,6,2,1,0.25461255
퀸란,Twins,34,13,21,28,0,0,0,0,0,0,0,3,0,10,3,0,1,0,0,0,0
이대호,Giants,20,74,255,281,71,44,19,0,8,27,32,19,1,66,7,0,0,6,1,0,0.27843137
윤현식,Twins,25,13,9,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
강봉규,Bears,24,93,160,182,40,28,6,1,5,30,25,16,1,43,2,1,3,4,6,1,0.25
전근표,Unicorns,25,11,17,20,5,2,2,1,0,2,5,3,0,4,0,0,0,0,0,0,0.29411765
박정환,Lions,24,119,316,372,74,51,12,2,9,49,36,35,0,79,6,2,13,9,3,0,0.23417722
김주찬,Giants,21,84,264,291,58,34,13,4,7,25,25,14,0,75,5,1,7,5,9,8,0.21969697
이명호,Giants,21,7,11,11,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0.09090909
양현석,Wyverns,24,88,191,223,51,41,4,0,6,23,25,17,1,41,12,2,1,4,2,1,0.26701571
김상훈,Tigers,24,113,357,391,79,60,12,0,7,36,41,18,0,67,5,3,8,11,3,1,0.22128852
홍세완,Tigers,24,111,401,449,103,70,21,0,12,43,69,30,2,68,6,4,8,10,7,5,0.25685786
김상현,Twins,21,31,32,42,10,8,0,1,1,7,6,7,1,18,3,0,0,0,0,0,0.3125
조윤채,Eagles,24,21,29,32,12,9,2,0,1,9,1,3,0,6,0,0,0,1,4,3,0.4137931
채종범,Wyverns,24,127,478,557,139,101,19,2,17,79,68,47,1,70,18,3,11,17,10,9,0.29079498
김재학,Twins,24,12,13,14,2,2,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0.15384615
박한이,Lions,23,133,504,586,137,101,24,2,10,89,47,60,3,79,6,2,14,15,13,12,0.2718254
조정권,Eagles,26,15,12,12,2,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0.16666667
신명철,Giants,23,81,127,134,26,18,4,2,2,12,10,4,0,35,0,1,2,0,7,8,0.20472441
권오현,Giants,24,45,74,84,13,7,6,0,0,4,1,5,0,22,4,0,1,0,4,0,0.17567568
박상민,Giants,23,30,37,43,7,6,1,0,0,2,2,5,0,9,1,0,0,1,0,1,0.18918919
박종윤,Giants,20,10,29,31,7,6,1,0,0,2,5,1,0,11,0,1,0,0,0,0,0.24137931
김민철,Tigers,20,58,46,53,12,11,1,0,0,9,3,4,0,10,1,0,2,0,0,1,0.26086957
김경언,Tigers,19,107,274,323,72,54,16,1,1,45,33,45,0,66,2,1,1,1,11,4,0.26277372
오우진,Tigers,23,14,16,17,4,4,0,0,0,0,2,0,0,6,1,0,0,1,0,0,0.25
박준서,Giants,20,29,33,34,5,4,1,0,0,4,0,1,0,12,0,0,0,1,1,0,0.15151515
정상호,Wyverns,19,28,39,43,7,7,0,0,0,1,4,0,0,12,2,1,1,0,0,0,0.17948718
김우석,Twins,26,43,30,31,6,5,0,1,0,5,3,0,0,11,1,0,0,2,0,1,0.2
추승우,Twins,22,6,10,10,2,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0.2
이일의,Twins,30,72,122,137,30,24,5,0,1,13,8,10,0,28,2,1,1,5,0,1,0.24590164
유재웅,Bears,23,52,57,61,12,10,1,0,1,3,5,3,0,21,1,0,0,1,0,0,0.21052632
김민우,Unicorns,23,25,41,47,8,5,2,1,0,8,2,5,0,20,0,1,0,0,0,0,0.19512195
강귀태,Unicorns,22,74,147,155,40,31,8,0,1,17,16,2,0,20,2,1,3,3,0,2,0.27210884
조재호,Unicorns,22,61,88,104,19,11,4,2,2,9,12,11,0,21,1,2,2,0,1,2,0.21590909
박우호,Unicorns,24,12,10,11,2,2,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0.2
강병식,Unicorns,25,89,130,147,27,17,3,1,6,16,20,11,0,35,3,2,1,5,0,2,0.20769231
현재윤,Lions,22,20,22,22,5,4,0,0,1,2,2,0,0,5,0,0,0,2,0,0,0.22727273
허일상,Giants,22,42,50,58,10,7,1,0,2,3,4,3,0,9,1,0,4,1,0,0,0.2
김정현,Giants,23,24,68,76,17,14,2,0,1,10,6,8,1,20,0,0,0,0,0,3,0.25
이현곤,Tigers,22,52,113,122,29,18,7,1,3,11,12,8,0,25,1,0,0,4,3,0,0.25663717
조민철,Tigers,23,12,14,16,3,3,0,0,0,1,2,1,0,5,1,0,0,0,0,0,0.21428571
채상병,Eagles,22,29,32,34,2,0,2,0,0,0,2,0,0,11,1,0,1,1,0,0,0.0625
조현수,Eagles,23,33,43,47,11,10,0,0,1,4,4,3,0,10,1,0,0,2,0,0,0.25581395
송혁,Eagles,23,12,10,12,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.1
김재구,Wyverns,24,15,14,15,6,5,0,0,1,3,5,1,0,3,0,0,0,1,0,0,0.42857143
장종훈,Eagles,34,101,302,331,75,48,15,0,12,38,42,24,1,88,2,2,1,1,2,2,0.24834437
김응국,Giants,36,116,373,412,106,85,15,3,3,35,49,34,2,58,2,1,2,8,12,5,0.28418231
김종석,Eagles,31,77,186,209,35,24,9,0,2,21,14,22,1,41,0,1,0,6,4,4,0.18817204
강석천,Eagles,34,94,242,266,70,52,11,1,6,27,28,20,0,51,2,1,1,9,7,3,0.2892562
김호,Bears,35,91,164,179,43,34,4,1,4,13,16,10,1,31,0,0,5,4,2,3,0.26219512
김동수,Wyverns,33,95,251,299,61,38,10,2,11,28,32,22,1,51,9,3,14,4,1,1,0.24302789
홍현우,Twins,29,25,68,76,8,4,3,0,1,3,8,3,0,16,2,2,1,1,0,1,0.11764706
김인철,Tigers,30,37,51,53,12,7,4,0,1,5,6,0,0,16,1,0,1,0,1,0,0.23529412
이종열,Twins,29,95,348,400,93,67,16,3,7,51,44,28,0,50,10,1,13,6,16,8,0.26724138
이종민,Bears,29,14,11,12,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.09090909
전상렬,Bears,30,125,268,290,66,47,12,2,5,39,26,14,1,43,4,2,2,5,10,3,0.24626866
전준호,Unicorns,33,126,420,501,126,100,15,8,3,83,28,53,1,51,13,1,14,2,26,11,0.3
박정태,Giants,33,103,267,308,70,48,14,1,7,26,38,32,0,32,7,0,2,4,0,2,0.26217228
양용모,Wyverns,34,74,107,116,23,14,8,0,1,14,10,2,1,32,1,1,5,1,6,0,0.21495327
김기태,Wyverns,33,101,284,337,73,48,15,1,9,32,46,47,0,57,0,3,3,6,2,1,0.25704225
조경택,Eagles,31,107,157,177,32,22,6,0,4,15,16,13,0,41,3,0,4,3,1,2,0.20382166
안경현,Bears,32,130,486,548,140,104,24,4,8,50,58,44,0,65,5,6,7,13,5,4,0.28806584
장원진,Bears,33,130,444,488,122,106,12,3,1,55,30,31,0,65,3,3,7,10,2,2,0.27477477
이재주,Tigers,28,26,33,37,5,3,0,0,2,2,5,3,0,16,0,0,1,1,0,0,0.15151515
황윤성,Unicorns,28,25,37,39,12,6,4,1,1,6,9,1,0,8,1,0,0,0,1,0,0.32432432
김태룡,Tigers,34,66,97,105,22,14,6,0,2,12,8,5,0,26,1,2,0,1,0,1,0.22680412
강성우,Wyverns,32,62,88,100,19,17,2,0,0,2,8,2,0,10,0,2,8,4,0,0,0.21590909
박종호,Unicorns,28,108,402,468,107,83,15,2,7,58,53,25,0,42,11,1,29,4,4,4,0.26616915
김정민,Twins,32,32,37,39,8,5,3,0,0,3,4,2,0,13,0,0,0,1,0,0,0.21621622
이도형,Eagles,27,123,365,392,88,57,15,0,16,36,55,20,2,66,2,3,2,10,2,1,0.24109589
김민호,Bears,33,95,160,185,25,19,3,1,2,14,11,12,0,39,3,4,6,4,7,0,0.15625
